function_name	kain_concept	llvm_ir_pattern	llvm_c_api	status	lines
runtime_symbol_for_stdlib_function	L0-fn, stdlib symbol resolution	Compile-time string match → runtime symbol name remapping	none (Rust helper)	mapped	234-241
stdlib_function_uses_borrowed_string_param	L0-fn, stdlib ABI	String param borrow check via match tuple	none (Rust helper)	mapped	243-248
kain_map_codegen_mix_u64	L0-fn, hash helper	u64 xor-shift-multiply mixing (no IR emission)	none (Rust helper)	mapped	250-257
kain_map_codegen_hash_bytes	L0-fn, hash helper	u64 rolling hash with Murmur-style mixing (no IR)	none (Rust helper)	mapped	259-284
kain_map_codegen_magic_prefix_state	L0-fn, hash helper	4-word folded state with magic constants (no IR)	none (Rust helper)	mapped	286-304
kain_map_codegen_static_key_metadata	L0-fn, hash helper	Extract (key_length, key_hash, key_prefix) tuple (no IR)	none (Rust helper)	mapped	306-335
llvm_runtime_declaration_is_preemitted	runtime, external decl tracking	Compile-time string match for pre-emitted symbols	none (Rust helper)	mapped	337-382
python_import_binding_infos	Python import	Compile-time binding info extraction from Import AST (no IR)	none (Rust helper)	mapped	384-422
llvm_orchestrate_trace_enabled	orchestrate, env flag	Env var check for `KAIN_LLVM_ORCHESTRATE_TRACE` or `KAIN_NATIVE_PROFILE`	none (Rust helper)	mapped	424-447
resolve_host_llvm_target_descriptor	LLVM target model	Delegates to `LlvmTargetDescriptor::host()`	LLVMGetHostCPUName, LLVMGetHostCPUFeatures	mapped	449-451
resolve_llvm_target_for_compile_target	LLVM target model	Match on CompileTarget → `for_triple("x86_64-unknown-none")` for BareMetal	LLVMGetDefaultTargetTriple	mapped	454-461
generate	LLVM IR generation, public entry	`generate_with_target(program, &host_descriptor)` → produces Vec<u8>	LLVMTargetMachineEmitToMemoryBuffer	mapped	463-465
generate_with_target	LLVM IR generation	`generate_with_options(program, false, None, "", target)`	LLVMTargetMachineEmitToMemoryBuffer	mapped	467-472
generate_llvm_for_target	LLVM IR generation, cross-target	Resolves target triple → `generate_with_target`	LLVMTargetMachineEmitToMemoryBuffer	mapped	478-487
generate_with_debug	LLVM IR generation, DWARF	`generate_with_options(program, true, source, filename, host)` with debug metadata	LLVMAddNamedMetadataOperand, LLVMSetCurrentDebugLocation	mapped	495-503
generate_with_debug_for_target	LLVM IR generation, DWARF+cross	`generate_with_options` with debug=+target_triple	LLVMAddNamedMetadataOperand, LLVMSetCurrentDebugLocation	mapped	510-521
generate_with_options	LLVM IR generation, internal	`lower_typed_program_memory` + `validate` + `gen.compile_module` → bytes	LLVMContextCreate, LLVMModuleCreateWithNameInContext	mapped	523-547
codegen_error	error helper	Creates DiagnosticReport + semantic enrichment	none (Rust helper)	mapped	846-858
compile_enum_tag_load	enum, tagged values	`getelementptr inbounds %Enum, %Enum* %val, i32 0, i32 0` + `load i64`	LLVMBuildGEP2, LLVMBuildLoad2	mapped	862-873
intern_string_global_name	string literal dedup	Allocates `@.str.N` global symbol, stores in HashMap	LLVMAddGlobal	mapped	875-884
compile_string_literal	string literal	`getelementptr [N x i8]* @.str.N → i8*` + `call i8* @string_new(i8*)`	LLVMBuildGEP2, LLVMBuildCall2, LLVMAddGlobal	mapped	886-938
string_literal_release_after_use	string literal lifecycle	Checks entry_preamble_insert_offset + scopes depth	none (Rust helper)	mapped	940-942
compile_string_literal_value	string literal wrapper	Calls compile_string_literal + tracks release flag	LLVMBuildGEP2, LLVMBuildCall2	mapped	944-948
compile_static_c_string_literal	C string literal	`getelementptr [N x i8]* @.str.N, i64 0, i64 0` (no string_new call)	LLVMBuildGEP2	mapped	950-960
concat_strings	string concatenation	`call i8* @str_concat(i8* %lhs, i8* %rhs)`	LLVMBuildCall2	mapped	962-969
stringify_value	value-to-string conversion	`sext i8→i64` or `zext i1→i64` or `call @llvm.fptosi.sat.i64.f64` + `call i8* @to_string(i64)`	LLVMBuildCall2, LLVMBuildSExt	mapped	971-1005
zero_value_for_ty	zero initializer	Pattern matches type → "0.0", "0", "null", "zeroinitializer"	LLVMConstNull, LLVMConstReal, LLVMConstInt	mapped	1007-1016
compile_expr_for_target_type	expression lowering, type coercion	Dispatches unwrap/expect/unwrap_or on Option/Result i8*; falls through to ask/None/coerce	LLVMBuildLoad2, LLVMBuildPhi, LLVMBuildCall2	mapped	1018-1136
coerce_compiled_value_to_target_type	LLVM type coercion	bitcast ptr→ptr, inttoptr i64→ptr*, load %T from %T*, ptrtoint ptr→i64, bitcast %T→%U	LLVMBuildBitCast, LLVMBuildIntToPtr, LLVMBuildLoad2	mapped	1138-1222
align_abi_size	ABI alignment helper	`size.div_ceil(align) * align`	none (pure math)	mapped	1224-1230
abi_layout_for_ty	ABI layout computation	Recursive struct field size/align from struct_defs; scalar size table	LLVMOffsetOfElement, LLVMStructGetSizeInBits	mapped	1232-1264
compile_bitcast_expr	bitcast / type punning	`bitcast %src %val to %dst` or `ptrtoint` or `inttoptr` if widths differ	LLVMBuildBitCast, LLVMBuildPtrToInt, LLVMBuildIntToPtr	mapped	1266-1327
emit_tagged_value_handle_bits	tagged value, immediate encoding	`ptrtoint i8* %boxed to i64` → handle bits	LLVMBuildPtrToInt	mapped	1329-1336
emit_tagged_immediate_tag_bits_from_handle_bits	tagged immediate decoding	`and i64 %handle, 7` → tag bits (mask 7)	LLVMBuildAnd	mapped	1338-1345
compile_tagged_immediate_integer_handle_from_i64	tagged immediate encoding	`shl i64 %value, 3` → `or i64 %shifted, %tag` → `inttoptr i64 %tagged to i8*`	LLVMBuildShl, LLVMBuildOr, LLVMBuildIntToPtr	mapped	1347-1365
compile_tagged_immediate_integer_payload_from_i64_bits	tagged immediate decoding	`ashr i64 %handle_bits, 3` → optional cast to target type	LLVMBuildAShr, LLVMBuildTrunc, LLVMBuildSExt	mapped	1367-1380
compile_tagged_immediate_borrowed_pointer_handle	tagged borrowed pointer	`ptrtoint i8* %ptr to i64` → `or i64 %ptr_bits, %tag` → `inttoptr i64 %tagged to i8*`	LLVMBuildPtrToInt, LLVMBuildOr, LLVMBuildIntToPtr	mapped	1382-1403
emit_tagged_value_tag_load	tagged value tag access	`bitcast i8* %boxed to i64*` + `load i64`	LLVMBuildBitCast, LLVMBuildLoad2	mapped	1405-1414
emit_tagged_value_payload_ptr	tagged value payload GEP	`getelementptr i8, i8* %boxed, i64 16` → past 16-byte header	LLVMBuildGEP2	mapped	1416-1423
compile_tagged_value_is_tag	tagged value tag matching	`icmp eq i8* %boxed, null` + branch → immediate path (and i64,7, icmp eq tag) + boxed path (load i64, icmp eq) → phi merge	LLVMBuildICmp, LLVMBuildPhi, LLVMBuildAnd, LLVMBuildLoad2	mapped	1425-1516
