module	symbol	kind	signature	purpose
runtime	runtime_init	function	fn runtime_init() -> Int	Initialize the Kain runtime
runtime	runtime_shutdown	function	fn runtime_shutdown() -> Int	Shutdown the Kain runtime
runtime	runtime_heap_validate	function	fn runtime_heap_validate() -> Int	Validate heap integrity
runtime	runtime_cpu_feature_mask	function	fn runtime_cpu_feature_mask() -> Int	Get CPU feature mask
runtime	runtime_cpu_feature_fingerprint	function	fn runtime_cpu_feature_fingerprint() -> Int	Get CPU feature fingerprint
runtime	runtime_cpu_has_capability	function	fn runtime_cpu_has_capability(capability_key: String) -> Int	Check CPU capability
runtime	runtime_converge_telemetry_count	function	fn runtime_converge_telemetry_count() -> Int	Converge telemetry count
runtime	runtime_machine_teleport_count	function	fn runtime_machine_teleport_count() -> Int	Machine teleport counter
runtime	runtime_machine_pulse_total_fire_count	function	fn runtime_machine_pulse_total_fire_count() -> Int	Total pulse firings
runtime	runtime_simd_i32_domain_dot_scalar_mod	function	fn runtime_simd_i32_domain_dot_scalar_mod(a,b,cells,bias,mod) -> Int	SIMD scalar dot product
runtime	runtime_simd_i32_domain_dot_avx2_mod	function	fn runtime_simd_i32_domain_dot_avx2_mod(a,b,cells,bias,mod) -> Int	SIMD AVX2 dot product
runtime	runtime_simd_i32_domain_dot_avx512_mod	function	fn runtime_simd_i32_domain_dot_avx512_mod(a,b,cells,bias,mod) -> Int	SIMD AVX-512 dot product
runtime	runtime_simd_i32_domain_affine_accumulate_scalar_mod	function	fn runtime_simd_i32_domain_affine_accumulate_scalar_mod(...) -> Int	SIMD scalar affine accumulation
runtime	runtime_simd_i32_domain_affine_accumulate_avx2_mod	function	fn runtime_simd_i32_domain_affine_accumulate_avx2_mod(...) -> Int	SIMD AVX2 affine accumulation
runtime	runtime_converge_select_lane	function	fn runtime_converge_select_lane(...) -> Int	Select best converge lane
runtime	runtime_converge_commit_winner	function	fn runtime_converge_commit_winner(...) -> Int	Commit winning converge lane
runtime	runtime_converge_record_telemetry	function	fn runtime_converge_record_telemetry(...) -> Int	Record converge telemetry
runtime	runtime_converge_cache_probe_count	function	fn runtime_converge_cache_probe_count() -> Int	Converge cache probe count
runtime	runtime_converge_cache_hit_count	function	fn runtime_converge_cache_hit_count() -> Int	Converge cache hit count
time	now_millis	function	fn now_millis() -> Int	Get current wall-clock time in ms
time	sleep_millis	function	fn sleep_millis(milliseconds: Int) -> Int	Sleep for milliseconds
time	duration_from_millis	function	fn duration_from_millis(ms: Int) -> Duration	Create duration from milliseconds
time	duration_from_secs	function	fn duration_from_secs(secs: Int) -> Duration	Create duration from seconds
time	duration_to_millis	function	fn duration_to_millis(d: Duration) -> Int	Convert duration to milliseconds
time	instant_now	function	fn instant_now() -> Instant	Get current instant timestamp
time	instant_elapsed	function	fn instant_elapsed(self: Instant) -> Duration	Get elapsed time from instant
time	deadline_from_duration	function	fn deadline_from_duration(dur: Duration) -> Deadline	Create deadline from duration
time	deadline_is_elapsed	function	fn deadline_is_elapsed(self: Deadline) -> Bool	Check if deadline elapsed
time	ticker_new	function	fn ticker_new(interval: Duration) -> Ticker	Create new ticker
time	ticker_next	function	fn ticker_next(t: Ticker) -> Ticker	Advance to next tick
time	datetime_from_epoch_millis	function	fn datetime_from_epoch_millis(epoch_ms: Int) -> DateTime	Create DateTime from epoch ms
time	Duration	struct	Duration { millis: Int }	Duration type
time	Instant	struct	Instant { millis: Int }	Instant type
time	Deadline	struct	Deadline { at: Int }	Deadline type
time	Ticker	struct	Ticker	Periodic ticker type
time	DateTime	struct	DateTime	Calendar date/time type
result	result_ok	function	fn result_ok() -> Int	Success sentinel
result	result_cancelled	function	fn result_cancelled() -> Int	Cancelled sentinel
result	result_invalid_argument	function	fn result_invalid_argument() -> Int	Invalid argument sentinel
result	result_not_found	function	fn result_not_found() -> Int	Not found sentinel
result	result_capacity_exceeded	function	fn result_capacity_exceeded() -> Int	Capacity exceeded sentinel
result	result_runtime_unavailable	function	fn result_runtime_unavailable() -> Int	Runtime unavailable sentinel
result	result_is_ok	function	fn result_is_ok(status: Int) -> Bool	Check if status is OK
result	result_is_error	function	fn result_is_error(status: Int) -> Bool	Check if status is error
result	result_combine	function	fn result_combine(left: Int, right: Int) -> Int	Combine two statuses
intent	entangle_reset	function	fn entangle_reset() -> Int	Reset entangle state
intent	entangle_registered_count	function	fn entangle_registered_count() -> Int	Count registered entanglements
intent	entangle_register	function	fn entangle_register(authority,mirror,policy,type_name) -> Int	Register an entangle coupling
intent	entangle_has_bindings	function	fn entangle_has_bindings() -> Bool	Check if entangle has bindings
intent	entangle_propagation_count	function	fn entangle_propagation_count() -> Int	Count entangle propagations
intent	patch_journal_count	function	fn patch_journal_count() -> Int	Count patch journal entries
intent	patch_last_path	function	fn patch_last_path() -> String	Get last patch path
intent	patch_status	function	fn patch_status(changed: Bool) -> Int	Get patch status
intent	patch_is_noop	function	fn patch_is_noop(status: Int) -> Bool	Check if patch is no-op
intent	patch_applied	function	fn patch_applied(status: Int) -> Bool	Check if patch applied
intent	law_status	function	fn law_status(valid: Bool) -> Int	Get law validation status
intent	law_is_valid_status	function	fn law_is_valid_status(status: Int) -> Bool	Check law status validity
intent	resonate_mutation_count	function	fn resonate_mutation_count() -> Int	Count resonate mutations
intent	resonate_fire_count	function	fn resonate_fire_count() -> Int	Count resonate firings
intent	resonate_absorb_count	function	fn resonate_absorb_count() -> Int	Count absorbed resonate events
intent	resonate_last_target	function	fn resonate_last_target() -> String	Last resonate target field
intent	resonate_last_old_i64	function	fn resonate_last_old_i64() -> Int	Last resonate old value
intent	resonate_last_new_i64	function	fn resonate_last_new_i64() -> Int	Last resonate new value
intent	resonate_last_dampen_ns	function	fn resonate_last_dampen_ns() -> Int	Last resonate dampen window (ns)
intent	converge_mismatch_count	function	fn converge_mismatch_count() -> Int	Count converge mismatches
intent	converge_choose_int	function	fn converge_choose_int(spec: Int, fast: Int) -> Int	Choose between spec/fast int
intent	converge_choose_bool	function	fn converge_choose_bool(spec: Bool, fast: Bool) -> Bool	Choose between spec/fast bool
intent	converge_status	function	fn converge_status(spec: Int, fast: Int) -> Int	Get converge status
intent	orchestrate_stage_count	function	fn orchestrate_stage_count() -> Int	Count orchestrate stages
intent	orchestrate_transfer_count	function	fn orchestrate_transfer_count() -> Int	Count orchestrate transfers
intent	orchestrate_fallback_count	function	fn orchestrate_fallback_count() -> Int	Count orchestrate fallbacks
intent	orchestrate_last_runtime	function	fn orchestrate_last_runtime() -> String	Last orchestrate runtime
intent	orchestrate_stage_status	function	fn orchestrate_stage_status(status: Int) -> Int	Get stage status
intent	orchestrate_merge_status	function	fn orchestrate_merge_status(left: Int, right: Int) -> Int	Merge stage statuses
actor	actor_spawn	function	fn actor_spawn(actor_name: String, init_payload: String) -> Int	Spawn an actor
actor	actor_send	function	fn actor_send(actor_id: Int, message_name: String, data_payload: String) -> Int	Send message to actor
actor	actor_id_is_valid	function	fn actor_id_is_valid(actor_id: Int) -> Bool	Check actor ID validity
actor	actor_is_running	function	fn actor_is_running(actor_id: Int) -> Bool	Check if actor is running
actor	actor_is_terminal	function	fn actor_is_terminal(actor_id: Int) -> Bool	Check if actor is terminal
actor	actor_shutdown	function	fn actor_shutdown(actor_id: Int) -> Int	Shutdown an actor
actor	actor_kill	function	fn actor_kill(actor_id: Int) -> Int	Kill an actor
actor	actor_get_state	function	fn actor_get_state(actor_id: Int) -> Int	Get actor state
actor	actor_registry_lookup	function	fn actor_registry_lookup(name: String) -> Int	Lookup actor in registry
actor	actor_registry_register	function	fn actor_registry_register(name: String, actor_id: Int) -> Int	Register actor in registry
actor	actor_registry_has	function	fn actor_registry_has(name: String) -> Bool	Check if actor is registered
actor	actor_monitor	function	fn actor_monitor(monitor_id: Int, monitored_id: Int) -> Int	Monitor an actor
actor	actor_link	function	fn actor_link(actor_a: Int, actor_b: Int) -> Int	Link two actors
actor	actor_unlink	function	fn actor_unlink(actor_a: Int, actor_b: Int) -> Int	Unlink two actors
actor	actor_default_mailbox_capacity	function	fn actor_default_mailbox_capacity() -> Int	Default mailbox capacity
actor	actor_unbounded_mailbox_capacity	function	fn actor_unbounded_mailbox_capacity() -> Int	Unbounded mailbox capacity
actor	actor_default_ask_timeout_ms	function	fn actor_default_ask_timeout_ms() -> Int	Default ask timeout (ms)
actor	actor_default_shutdown_grace_ms	function	fn actor_default_shutdown_grace_ms() -> Int	Default shutdown grace (ms)
actor	actor_supervision_max_restarts	function	fn actor_supervision_max_restarts() -> Int	Max supervision restarts
actor	actor_supervision_restart_window_millis	function	fn actor_supervision_restart_window_millis() -> Int	Supervision restart window
actor	actor_invalid_id	function	fn actor_invalid_id() -> Int	Invalid actor ID sentinel
actor	actor_supervision_observed_child_exit_count	function	fn actor_supervision_observed_child_exit_count(actor_id: Int) -> Int	Count observed child exits
actor	actor_supervision_restart_attempt_count	function	fn actor_supervision_restart_attempt_count(actor_id: Int) -> Int	Count restart attempts
actor	actor_supervision_escalation_count	function	fn actor_supervision_escalation_count(actor_id: Int) -> Int	Count supervision escalations
actor	actor_supervision_limit_hit	function	fn actor_supervision_limit_hit(actor_id: Int) -> Bool	Check if supervision limit hit
actor	actor_scheduler_queue_depth	function	fn actor_scheduler_queue_depth() -> Int	Scheduler queue depth
actor	actor_scheduler_max_queue_depth	function	fn actor_scheduler_max_queue_depth() -> Int	Max scheduler queue depth
actor	actor_scheduler_total_enqueued	function	fn actor_scheduler_total_enqueued() -> Int	Total enqueued messages
actor	actor_scheduler_total_dequeued	function	fn actor_scheduler_total_dequeued() -> Int	Total dequeued messages
actor	actor_scheduler_worker_count	function	fn actor_scheduler_worker_count() -> Int	Worker thread count
actor	actor_scheduler_active_workers	function	fn actor_scheduler_active_workers() -> Int	Active worker count
actor	actor_scheduler_busy_workers	function	fn actor_scheduler_busy_workers() -> Int	Busy worker count
actor	actor_scheduler_overflow_thread_spawns	function	fn actor_scheduler_overflow_thread_spawns() -> Int	Overflow thread spawns
gen_server	gen_server_start	function	fn gen_server_start(state, handle_call, handle_cast, handle_info) -> GenServer	Start a gen_server
gen_server	gen_server_start_link	function	fn gen_server_start_link(state, ...) -> GenServer	Start linked gen_server
gen_server	gen_server_call	function	fn gen_server_call(server: GenServer, request: M) -> R	Synchronous call to gen_server
gen_server	gen_server_cast	function	fn gen_server_cast(server: GenServer, request: M) -> Unit	Async cast to gen_server
gen_server	gen_server_info	function	fn gen_server_info(server: GenServer, message: M) -> Unit	Send info message to gen_server
gen_server	gen_server_call_result	function	fn gen_server_call_result(reply: R, state: S) -> GenServerCallOutcome	Create call result
sync	mcs_mutex_new	function	fn mcs_mutex_new() -> McsMutex	Create MCS lock
sync	mcs_mutex_lock	function	fn mcs_mutex_lock(lock: McsMutex, node: ptr<Int>) -> Int	Lock MCS mutex
sync	mcs_mutex_unlock	function	fn mcs_mutex_unlock(lock: McsMutex, node: ptr<Int>) -> Int	Unlock MCS mutex
sync	teleport_channel_new	function	fn teleport_channel_new(capacity: Int) -> TeleportChannel	Create teleport channel
sync	teleport_channel_send	function	fn teleport_channel_send(chan: TeleportChannel, item_ptr: Int) -> Bool	Send on teleport channel
sync	teleport_channel_recv	function	fn teleport_channel_recv(chan: TeleportChannel) -> Int	Receive from teleport channel
sync	once_new	function	fn once_new() -> Once	Create once primitive
sync	once_do	function	fn once_do(o: Once) -> Int	Execute once
sync	once_complete	function	fn once_complete(o: Once) -> Int	Complete once
sync	wait_group_new	function	fn wait_group_new() -> WaitGroup	Create wait group
sync	wait_group_add	function	fn wait_group_add(wg: WaitGroup, delta: Int) -> Int	Add to wait group
sync	wait_group_done	function	fn wait_group_done(wg: WaitGroup) -> Int	Signal wait group done
sync	wait_group_wait	function	fn wait_group_wait(wg: WaitGroup) -> Int	Wait for wait group
sync	rwlock_new	function	fn rwlock_new() -> RwLock	Create RW lock
sync	rwlock_read_lock	function	fn rwlock_read_lock(lock: RwLock) -> Int	Acquire read lock
sync	rwlock_write_lock	function	fn rwlock_write_lock(lock: RwLock) -> Int	Acquire write lock
sync	semaphore_new	function	fn semaphore_new(initial: Int) -> Semaphore	Create semaphore
sync	semaphore_acquire	function	fn semaphore_acquire(sema: Semaphore) -> Int	Acquire semaphore
sync	semaphore_release	function	fn semaphore_release(sema: Semaphore, permits: Int) -> Int	Release semaphore
