example	construct	code_snippet	file_line	purpose
fn - Function Declaration	fn	fn add(a: Int, b: Int) -> Int with Pure: return a + b	KAIN_BY_EXAMPLE.md:8	Function declaration with pure effect
fn - Generic Function	fn	fn generic_sum<T: Numeric>(a: T, b: T) -> T with Pure where T: Default: return a + b	KAIN_BY_EXAMPLE.md:12	Generic function with trait bounds
fn - Unsafe Snapshot	fn	fn maze_snapshot(maze: ptr<Int>, cell_count: Int) -> [Int] with Unsafe:	KAIN_BY_EXAMPLE.md:17	Function using raw memory with Unsafe effect
let/mut/var binding	let	let x: Int = 42; let mut counter: Int = 0; var acc: Int = 0	KAIN_BY_EXAMPLE.md:31	Immutable, mutable, and rebindable bindings
const constant	const	const MODULUS: Int = 1000000007; const CELL_COUNT: Int = 8	KAIN_BY_EXAMPLE.md:39	Compile-time constants
if/elif/else expression	if	"let mode = if val == 0: ""zero"" elif val == 1: ""one"" else: ""many"""	KAIN_BY_EXAMPLE.md:44	Conditional expression branching
match enum matching	match	"match s: NativeSubsystem::RuntimeCore => ""runtime-core"" ... _ => ""unknown"""	KAIN_BY_EXAMPLE.md:52	Exhaustive enum variant pattern matching
for loop iteration	for	for lane in [1, 2, 3, 4]: acc = (acc + lane) % modulus	KAIN_BY_EXAMPLE.md:79	For loop over literal array
for range iteration	for	for i in 0..10: result = result * i	KAIN_BY_EXAMPLE.md:83	For loop with range syntax
while loop	while	var i: Int = 0; while i < iterations: acc = (acc + i) % modulus; i = i + 1	KAIN_BY_EXAMPLE.md:91	Conditional loop
loop with break value	loop	loop: step = step + 1; if step > 5: break; odd_sum = odd_sum + step	KAIN_BY_EXAMPLE.md:99	Infinite loop with break
loop break value loop	loop	let result: Int = loop: if done: break final_value; step()	KAIN_BY_EXAMPLE.md:105	Loop yielding a break value
return early exit	return	fn clamp(v: Int, lo: Int, hi: Int) -> Int: if v < lo: return lo; if v > hi: return hi; return v	KAIN_BY_EXAMPLE.md:112	Early return with boundary checks
defer cleanup	defer	"fn process() -> Int: let buf: ptr<Int> = alloc_zeroed(N, ""Int""); defer decay buf"	KAIN_BY_EXAMPLE.md:119	Block-scoped LIFO cleanup with defer
struct with impl	struct/impl	struct Packet: id: Int; payload: Int / impl Packet: fn score(_self: Self_) -> Int	KAIN_BY_EXAMPLE.md:133	Product type with method
enum Option/Result	enum	enum Option<T>: Some(value: T); None / enum Result<T, E>: Ok(value: T); Err(error: E)	KAIN_BY_EXAMPLE.md:143	Sum types for option and result
trait with default	trait	trait Metric: fn score(_self: Self_) -> Int: return 0	KAIN_BY_EXAMPLE.md:152	Trait with default method implementation
impl trait for type	impl	impl Metric for Packet: fn score(_self: Self_) -> Int: return ((_self.id * 11) + _self.payload + 17) % 1000000007	KAIN_BY_EXAMPLE.md:156	Trait implementation for struct
type alias	type	type Checksum = Int; type Distance = Float	KAIN_BY_EXAMPLE.md:162	Type aliases
pub mod visibility	mod/pub	pub mod util: pub fn clamp(v: Int, lo: Int, hi: Int) -> Int	KAIN_BY_EXAMPLE.md:168	Module with public visibility
use stdlib imports	use	use std::runtime; use std::actor; use std::intent	KAIN_BY_EXAMPLE.md:175	Standard library imports
true/false/none literals	true/false/none	let flag: Bool = true; let done: Bool = false; let nullable: Option<Int> = none	KAIN_BY_EXAMPLE.md:180	Built-in literal values
where generic constraint	where	fn summary<T: Metric>(p: T, salt: Int) -> Int with Pure where T: Stable	KAIN_BY_EXAMPLE.md:187	Generic function with where clause
as type cast/alias	as	let clamped: Int = val as Int; include <stdio.h> as libc; import json as py_json	KAIN_BY_EXAMPLE.md:194	Type casting and import aliasing
Effects Chained	Pure/IO/GPU/Reactive/Unsafe	fn pure_effect_score(value: Int) -> Int with Pure: / io/gpu/reactive/unsafe variants	KAIN_BY_EXAMPLE.md:204	All five effects chained in expressions
async/await future	async/await	async fn fetch(id: Int) -> Int with Async: return id * 2; let fut = fetch(v); return await fut	KAIN_BY_EXAMPLE.md:223	Async function and future resolution
GPU dispatch	GPU/Unsafe	"fn run_kernel(data: ptr<Float>) -> Int with GPU, Unsafe: dispatch ""shader::Kernel::compute"" [32, 32, 1]"	KAIN_BY_EXAMPLE.md:233	GPU kernel dispatch from host
Unsafe raw memory	Unsafe	"fn read_raw(cells: ptr<Int>) -> Int with Unsafe: return mem_load(ptr_offset(cells, 0, ""Int""), ""Int"")"	KAIN_BY_EXAMPLE.md:240	Raw memory access with Unsafe
and/or boolean	and/or	if v >= 0 and v < MODULUS: return true; let flag: Bool = a == none or a == 0	KAIN_BY_EXAMPLE.md:247	Boolean operators
component with raw memory	component	component MemoryWidget(cell_count: Int) with Unsafe: state buffer: ptr<Int> / collapse/observe/decay	KAIN_BY_EXAMPLE.md:258	Full component with raw memory lifecycle
JSX composition	component	component Button(label: String, kind: String): render <box><text value={label} /></box>	KAIN_BY_EXAMPLE.md:300	Components calling components in JSX
JSX recursive component	component	component RecursiveTree(depth: Int, label: String): state expanded: Bool = false / <RecursiveTree />	KAIN_BY_EXAMPLE.md:312	Recursive component composition in JSX
world surface binding	world/surface	world MyWorld: state signal: Int = 1; surface native_ui => App	KAIN_BY_EXAMPLE.md:334	World with native UI surface
world full game state	world	world PongAuthority: state left_paddle_y: Int = 228 / 18 fields / surface native_ui => App	KAIN_BY_EXAMPLE.md:343	Full game state world with 18 fields
entangle couplings	entangle	entangle PongAuthority.left_paddle_y <-> PongMirror.mirrored_left_paddle_y with single_writer	KAIN_BY_EXAMPLE.md:382	Cross-world field entanglement
patch journaled mutation	patch	patch apply_frame(authority: PongAuthority, ...) -> Int: / 16 field assignments	KAIN_BY_EXAMPLE.md:415	18-field journaled mutation patch
law compound invariants	law	law cell_in_bounds(index: Int, cell_count: Int) -> Bool: return index >= 0 and index < cell_count	KAIN_BY_EXAMPLE.md:448	Compound invariants with laws calling laws
converge SIMD dispatch	converge	converge fast_dot(left: ptr<Int>, right: ptr<Int>, ...) -> Int: spec reference: / fast lanes / verify random(8)	KAIN_BY_EXAMPLE.md:470	Hardware capability SIMD dispatch
orchestrate 7-stage pipeline	orchestrate	orchestrate signal_pipeline(value: Int, epoch: Int) -> Int: stage host_base: cpu / stage gpu_tune / stage patch_step	KAIN_BY_EXAMPLE.md:490	7-stage orchestrate with all runtime kinds
