layer	construct	when_to_use	when_not_to
LAYER 7: Systems	actor	Concurrent message-passing stateful entities; worker pools, relays, supervisors, state machines; need mailbox semantics with request/reply patterns	Single-threaded sequential code (use fn); shared-memory concurrency (use collapse/observe with atomics); simple async/await; just want a thread
LAYER 7: Systems	collapse/observe/decay	Managing raw memory (ptr<T>) with explicit aliasing control; need compiler verification of exclusive mutation -> read-only observation -> deterministic teardown; ownership state machine matters for safety	Normal stack variables (automatic); world state (has own ownership model); actor state (actors own it); no raw pointers (nothing to own)
LAYER 7: Systems	share/fanout	Parallel write lanes on disjoint pointer regions; SIMD-style parallel reductions	Single-threaded write patterns; no parallelism needed
LAYER 7: Systems	weak	Non-owning pointer alias that must not be decayed; observer pointers outliving the owner	Owning pointer semantics needed
LAYER 6: Machine Stones	axiom	Code depends on target/architecture/capability that may not be present; need declared fallback path; capability gate visible in runtime contract for orchestrate guarded by clauses	Capability is always present; simple platform check (use converge); just documentation (use comments)
LAYER 6: Machine Stones	shatter struct	Hot data where field lanes accessed independently (SoA beats AoS for SIMD/GPU); preparing data for GPU upload or SIMD processing; compiler should track lane layout metadata	Normal struct with mixed access patterns; small structs fitting cache lines; no performance evidence SoA matters
LAYER 6: Machine Stones	teleport	Moving data from one world to another without copying; source should be considered moved (post-teleport reads are compile errors); want runtime to track handoff as machine stone event	Just passing a value between functions (use parameters); both worlds should keep data (use entangle); want a copy (just assign or clone)
LAYER 5: Temporal	pulse	Timing/recurrence is part of program semantics; want jitter-tolerant periodic execution (frame loops, physics ticks, LFO modulation, heartbeat); want runtime-owned scheduling, not hand-rolled while+sleep; need pulse_tick/pulse_dt_ms/pulse_missed for accurate timing	One-shot timer (use async+timer or ask_timeout); tight spin loop (use while+raw timing); event-driven callback (use resonate or actor on handlers)
LAYER 5: Temporal	resonate	World field change should trigger handler without polling; want dampening to absorb rapid-fire changes; reaction should be compiler-owned post-store shadow patch; want direct LLVM lowering not indirect dispatch	Want to poll the value (read in pulse or loop); reaction simple enough to inline; need complex event routing (actor message handlers)
LAYER 4: Stage Graph	orchestrate	Pipeline of dependent stages across different runtimes (CPU -> GPU -> law check -> patch -> world); stages need explicit dependencies, residency, transfer, fallback paths, guard axioms; want compiler validation of dependency graph; want runtime telemetry	Linear sequence of function calls (plain fn); all stages same runtime with no interesting residency/transfer; just want to call a GPU function (use dispatch directly)
LAYER 3: Dispatch	converge	Reference implementation plus platform-specific optimized versions; optimization gated by target() or capability(); need compiler/runtime to select best lane automatically; need verify random(N) to fuzz-test fast lanes against spec	Only one implementation (use fn); fast path same code as spec (use fn); doing if target==windows inside fn
LAYER 2: State Integrity	law	Constraint that must hold for correctness (bounds, ranges, valid states); invariant should be compiler-witnessable not hidden in an if; want invariant part of runtime contract; want Z3 able to prove invariant	One-off check in function body (use if); business logic not invariant (use fn); doesn't return Bool (law must return Bool)
LAYER 2: State Integrity	patch	Mutation should be recorded in patch journal (auditability, replay, undo); mutation targets world state fields; want runtime telemetry; mutation might be part of orchestrate pipeline stage	Setting a local variable (just assign); modifying struct field not world state (use impl methods); mutation doesn't need tracking
LAYER 1: State Authority	entangle	Two world fields should stay in sync automatically; need single-writer semantics (one writes, other reads); want compiler to track propagation counts and coupling metadata	Syncing two local variables (just assign); need bidirectional writes (entangle is single_writer only); just passing data between functions (use parameters)
LAYER 0: Plain Code	fn, struct, let, etc.	Default baseline for all Kain code; no higher-layer construct fits	When any Layer 1-7 construct fits; patch is not a function that writes to a global; law is not an if statement; converge is not a function with #[cfg]
LAYER UI: Components	component	Define reusable piece of UI with its own state (props, state, methods, JSX render); compose UI from smaller pieces via <OtherComponent />; bind world to root UI view	Declaration that produces no UI (use fn); application state behind UI (use world + surface); computation that feeds the UI (use fn called from JSX)
Foreign Boundaries	include ... as ...	C/OS APIs needed (Windows SDK, Vulkan, CUDA, stdio, math); vendor SDKs; C runtime functions	Pure Kain code with no C dependency
Foreign Boundaries	import	Python libraries needed (NumPy, PyTorch, json, PIL, Qt); Kain owns app logic; Python owns library ecosystem	No Python dependency needed
GPU Lane	shader compute/vertex/fragment	Writing a GPU compute kernel; writing a vertex or fragment shader; kernel is the deliverable	Host-side GPU orchestration (use dispatch); resource policy (use std::gpu); graphics command recording (use std::graphics)
