category	name	kind	file	signature/description	notes
Version Constant	KT_VERSION_MAJOR	constant	kaintana.h	#define KT_VERSION_MAJOR 0	Bump on breaking changes
Version Constant	KT_VERSION_MINOR	constant	kaintana.h	#define KT_VERSION_MINOR 1
Version Constant	KT_VERSION_PATCH	constant	kaintana.h	#define KT_VERSION_PATCH 0
Version Constant	KT_VERSION	constant	kaintana.h	#define KT_VERSION "0.1.0"
Version Constant	KT_API_VERSION	constant	kaintana.h	#define KT_API_VERSION 1	Bump on ABI-breaking changes
Export Macro	KT_API	macro	kaintana.h	#define KT_API extern	Export marker for public functions
Surface Name	KAINTANA_SURFACE_NAME	constant	kaintana.h	#define KAINTANA_SURFACE_NAME "kaintana"	Used by kain_component_surface_register
Type	kt_Vec2	type	kaintana.h	typedef struct { float x, y; } kt_Vec2	8 bytes, 2D point/vector
Type	kt_Rect	type	kaintana.h	typedef struct { float x, y, w, h; } kt_Rect	16 bytes, axis-aligned rectangle
Type	kt_Color	type	kaintana.h	typedef struct { float r, g, b, a; } kt_Color	16 bytes, float RGBA
Type	kt_Matrix	type	kaintana.h	typedef struct { float m[6]; } kt_Matrix	24 bytes, 2D affine row-major
Type	kt_Fixed8_8	type	kaintana.h	typedef uint16_t kt_Fixed8_8	Fixed-point 8.8, 1/256 precision
Type	kt_Session	type	kaintana.h	typedef struct kt_Session_t kt_Session	Opaque session handle (full def in internal.h)
Type	kt_Input	type	kaintana.h	typedef struct { float mouse_x/y, scroll_dx/dy, int keys_down[256], mouse_down[5], char text_input[32], int text_len, double time_ms; } kt_Input	Per-frame input state, ImGuiIO-style
Type	kt_Cmd	type	kaintana.h	typedef struct { kt_CmdType type; kt_Rect bounds; uint32_t color, color_b; float radius, thickness; int text_id, image_id; } kt_Cmd	Draw command, 48 bytes
Type	kt_DrawData	type	kaintana.h	typedef struct { const kt_Cmd* cmds; int cmd_count; } kt_DrawData	Per-frame render output
Type	KaintanaBackendConfig	type	kaintana.h	typedef struct { const char* title; int width, height; int fullscreen; void* platform_handle; } KaintanaBackendConfig	Backend configuration
Type	KaintanaBackendVTable	type	kaintana.h	typedef struct { int (*init)(config); void (*shutdown)(void); void (*new_frame)(void); void (*render)(draw_data); } KaintanaBackendVTable	4-function backend contract
Type	KaintanaComponentSurface	type	kaintana.h	typedef KainComponentSurface KaintanaComponentSurface	Alias for the 24-slot vtable
Enum	kt_CmdType	enum	kaintana.h	KT_CMD_FILL=0, _STROKE=1, _TEXT=2, _IMAGE=3, _CLIP=4, _UNCLIP=5	6 draw primitives
Enum	KaintanaInputKind	enum	kaintana.h	KT_INPUT_NONE=0, _MOUSE_MOVE=1, _MOUSE_DOWN=2, _MOUSE_UP=3, _SCROLL=4, _KEY_DOWN=5, _KEY_UP=6, _TEXT=7, _COUNT=8	8 input event types
Enum	KaintanaLayoutDir	enum	kaintana.h	KT_DIR_ROW=0, _COLUMN=1, _ROW_REVERSE=2, _COLUMN_REVERSE=3	4 flex directions
Enum	KaintanaJustify	enum	kaintana.h	KT_JUSTIFY_FLEX_START=0, _CENTER=1, _FLEX_END=2, _SPACE_BETWEEN=3, _SPACE_AROUND=4, _SPACE_EVENLY=5	6 justify-content modes
