api_name	file	section	formula	parameters	returns	source_framework	proof_file	z3_status	branchless
kt_layout_resolve_flex_basis	box_math.c	1.1 Flex-Basis Resolution	flex_basis=style.flexBasis if !=auto else width if axis==row else height if axis==column else 0	node:int32_t,axis:int	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_remaining_space	box_math.c	1.2 Flex-Grow/Shrink Distribution	remaining=container_size-sum(child_base_sizes)-sum(child_margins)-container_padding-border	container_size:float,children:array,padding:float[4],border:float[4]	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_distribute_grow	box_math.c	1.2 Flex-Grow/Shrink Distribution	child_i=flex_basis_i+(grow_i/sum_grow)*remaining	child_i:int,flex_basis_i:float,grow_i:float,sum_grow:float,remaining:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_distribute_shrink	box_math.c	1.2 Flex-Grow/Shrink Distribution	child_i=flex_basis_i+remaining*shrink_i*(flex_basis_i/sum(shrink_j*flex_basis_j))	child_i:int,flex_basis_i:float,shrink_i:float,scaled_sum:float,remaining:float	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_clamp	box_math.c	1.2 Flex-Grow/Shrink Distribution	clamp=fmaxf(lo,fminf(v,hi))	v:float,lo:float,hi:float	float	Yoga	kt-layout-clamp-branchless.smt2	UNSAT	yes
kt_layout_clamp_int	box_math.c	1.2 Flex-Grow/Shrink Distribution	clamp_int=_t=_v^((_v^_lo)&-(_v<_lo)); _hi^((_hi^_t)&-(_hi<_t))	v:T,lo:T,hi:T	T	Yoga	kt-layout-clamp-branchless.smt2	UNSAT	yes
kt_layout_bound_axis	box_math.c	1.2 Flex-Grow/Shrink Distribution	result=max(clamp(proposal,minDim,maxDim),paddingAndBorderSum)	proposal:float,padding_border:float,min_dim:float,max_dim:float	float	Yoga	kt-layout-clamp-branchless.smt2	UNSAT	yes
kt_layout_justify_gap	box_math.c	1.3 Justify-Content Distribution	gap=case FLEX_START:0 CENTER:remaining/2 FLEX_END:remaining SPACE_BETWEEN:remaining/(count-1) SPACE_AROUND:remaining/count SPACE_EVENLY:remaining/(count+1)	justify_mode:int,remaining:float,child_count:int	float	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_justify_position	box_math.c	1.3 Justify-Content Distribution	child_i.main_start=container_start+padding_start+sum(margin+size+gap for j<i)+child_i.margin_main_start	container_start:float,children:array	float[]	Yoga	box_math_proofs.yaml	UNSAT	no
kt_layout_auto_margin	box_math.c	1.3 Justify-Content Distribution	margin_start=margin_end==AUTO?remaining/2:margin_start==AUTO?remaining:margin_end==AUTO?remaining:0	margin_start:int,margin_end:int,remaining:float	{float,float}	Yoga	box_math_proofs.yaml	UNSAT	no
