section	id	function_name	llvm_call	kaintana_target	description	hooks	notes
TYPE_DECLARATION	1	declare_surface_trait_types	%KainComponentSurface = type { i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8*, i8* }	KainComponentSurface struct (component_surface.h)	Declares the opaque vtable struct type with 24 i8* slots; all function pointers are stored as uniform i8* placeholders until bitcast at call site.	Could add vtable slot count validation at compile time (assert 24 == expected).	Uniform i8* avoids needing 24 distinct function pointer types in the type declaration. Bitcast resolves the real type per call.
TYPE_DECLARATION	2	declare_surface_trait_types	%KainGpuSurfaceExtension = type { i8*, i8* }	KainGpuSurfaceExtension (gpu_surface_extension.h)	Declares the GPU extension struct with two slots: load_shader (offset 0) and set_uniform (offset 1).	Could add version field for ABI compatibility checking.	Used by any surface with get_gpu_extension != NULL (slot 18); component-only surfaces skip this entirely.
TYPE_DECLARATION	3	declare_surface_trait_types	declare %KainComponentSurface* @kain_component_surface_resolve(i8*)	kain_component_surface_resolve() in component_surface.h	Declares the surface registry resolver: takes a name string, returns a surface pointer or NULL.	Could hook surface fallback resolution (try multiple names).	Called once per frame loop init; result cached in a local register for the frame loop duration.
TYPE_DECLARATION	4	declare_surface_trait_types	declare void @kain_runtime_panic(i8*)	kain_runtime_panic() in crash_handler.c or core.c	Declares the fatal-error handler for surface resolution/session failures.	Could emit structured diagnostic before panic with world/surface/session context.	Unreachable follows every panic call site.
TYPE_DECLARATION	5	declare_surface_trait_types	declare double @__kain_frame_delta_ms()	__kain_frame_delta_ms() in machine_stones.c? or core.c?	Declares the high-resolution frame timer used by begin_frame.	Could hook to record frame timing telemetry for converge autotune.	Returns double (f64) in milliseconds.
TYPE_DECLARATION	6	declare_surface_trait_types	%KainComponentCallback = type void (i64, i64, i8*)*	Generic callback fn ptr (no C typedef)	Declares the callback function pointer type: takes session_id, element_id, event_data.	Could extend with event kind discriminator for type-safe dispatch.	Used by element_set_callback (slot 23) and compile_jsx_callback.
VTABLE_CONSTANT	1	(global)	OFF_SESSION_CREATE = 0	slot 0: session_create	Vtable offset for creating a rendering session.	Could check return < 0 for error before entering frame loop.	Returns session_id (i64); negative = error.
VTABLE_CONSTANT	2	(global)	OFF_SESSION_DESTROY = 1	slot 1: session_destroy	Vtable offset for destroying a session (cleanup at shutdown).	Could hook to flush pending state/patch journal before destroy.	Called once at frame loop exit.
VTABLE_CONSTANT	3	(global)	OFF_ELEMENT_BEGIN = 2	slot 2: element_begin	Vtable offset for creating a new element in the tree.	Could inject auto-layout hints based on sibling position.	Returns element_id (i64).
VTABLE_CONSTANT	4	(global)	OFF_ELEMENT_END = 3	slot 3: element_end	Vtable offset for closing an element (signals end of children).	Could hook to validate element nesting (begin/end pairing).	Must be called after all children and attributes.
VTABLE_CONSTANT	5	(global)	OFF_ELEMENT_SET_TEXT = 4	slot 4: element_set_text	Vtable offset for setting text content on an element.	Could auto-escape HTML entities for web backend.	Also used as fallback for "value" attribute.
VTABLE_CONSTANT	6	(global)	OFF_ELEMENT_SET_ATTR_I64 = 5	slot 5: element_set_attr_i64	Vtable offset for setting integer attributes/style properties.	Could inject range validation (e.g. opacity 0-100, padding >= 0).	Used for direction, disabled, checked, selected, tab_index, weight.
VTABLE_CONSTANT	7	(global)	OFF_ELEMENT_SET_ATTR_F64 = 6	slot 6: element_set_attr_f64	Vtable offset for setting float attributes/style properties.	Could inject layout constraint validation.	Used for padding, spacing, corner_radius, font_size, opacity, border_width, width, height, min, max, step.
VTABLE_CONSTANT	8	(global)	OFF_ELEMENT_SET_ATTR_STRING = 7	slot 7: element_set_attr_string	Vtable offset for setting string attributes/style properties.	Could auto-resolve color aliases or theme tokens.	Used for background/fill, border_color/stroke, color/ink_color, title, variant, role, align, font_family, distribution, axis, placeholder, tooltip. Also fallback for unknown attrs.
VTABLE_CONSTANT	9	(global)	OFF_STATE_GET_I64 = 8	slot 8: state_get_i64	Vtable offset for reading i64 component state.	Could emit resonate tripwire on state read.	Sentinel: -1 = first frame (not yet initialized). Changed from 0 to avoid collision with valid zero values.
