function_name	kain_concept	llvm_ir_pattern	llvm_c_api	status	lines
runtime_symbol_for_stdlib_function	systems (stdlib mapping)	Function name remapping (i64 call)	N/A — string mapping only	mapped	234-241
stdlib_function_uses_borrowed_string_param	systems (string ABI)	String parameter classification	N/A — metadata only	mapped	243-248
kain_map_codegen_mix_u64	systems (hash)	u64 arithmetic (xor, mul, rotate)	N/A — compile-time math	mapped	250-257
kain_map_codegen_hash_bytes	systems (hash)	u64 hash with arithmetic ops	N/A — compile-time math	mapped	259-284
kain_map_codegen_magic_prefix_state	systems (hash)	u64 fold with magic constants	N/A — compile-time math	mapped	286-304
kain_map_codegen_static_key_metadata	systems (hash)	u64 key metadata extraction	N/A — compile-time math	mapped	306-335
llvm_runtime_declaration_is_preemitted	systems (runtime FFI)	Declaration name classification	N/A — metadata only	mapped	337-382
python_import_binding_infos	python imports	Import metadata extraction	N/A — metadata only	mapped	384-422
llvm_orchestrate_trace_enabled	orchestrate	Env var trace enable check	N/A — env var flag	mapped	424-447
resolve_host_llvm_target_descriptor	systems (target)	N/A — target descriptor resolution	LLVMGetDefaultTargetTriple equivalent	mapped	449-451
resolve_llvm_target_for_compile_target	systems (target)	target triple string matching	LLVMGetDefaultTargetTriple, LLVMTargetByName	mapped	453-461
generate	codegen entry	Full LLVM IR module	LLVMPrintModuleToFile	mapped	463-465
generate_with_target	codegen entry	Full LLVM IR module	LLVMTargetMachineEmitToMemoryBuffer	mapped	467-472
generate_llvm_for_target	codegen entry	Full LLVM IR module	LLVMTargetMachineEmitToMemoryBuffer	mapped	478-487
generate_with_debug	codegen entry (debug)	+ !dbg metadata, DICompileUnit, DISubprogram	LLVMSetCurrentDebugLocation, LLVMAddNamedMetadataOperand	mapped	495-503
generate_with_debug_for_target	codegen entry (debug+cross)	+ !dbg metadata, DICompileUnit, DISubprogram	LLVMSetCurrentDebugLocation, LLVMTargetMachineEmitToMemoryBuffer	mapped	510-521
generate_with_options	codegen entry	Lowered program → LLVM IR text	LLVMContextCreate, LLVMModuleCreateWithNameInContext	mapped	523-547
codegen_error	diagnostics	Error formatting with span	KainError::rich (no LLVM-C)	mapped	846-858
compile_runtime_array_write_value	runtime array (Array<T>)	compile_expr for runtime array element type	LLVMBuildStore (typed element)	mapped	862-876
record_runtime_array_local_element_ty	runtime array (Array<T>)	Metadata tracking (no IR emitted)	N/A	mapped	878-885
materialize_runtime_array_element_value	runtime array (Array<T>)	trunc i64 to smaller / bitcast i64 to double / inttoptr i64 to ptr	type-specific cast instructions	mapped	887-920
record_helper_owned_pointer_local	collapse/observe/decay (provenance)	Metadata tracking (no IR emitted)	N/A	mapped	922-934
ownership_pointer_provenance_for_expr	collapse/observe/decay (provenance)	Metadata analysis (no IR emitted)	N/A	mapped	936-976
expr_needs_rc_retain	collapse/observe/decay (RC management)	Metadata analysis (no IR emitted)	N/A	mapped	978-982
expr_is_raw_pointer_value	collapse/observe/decay (pointer identity)	Metadata analysis (no IR emitted)	N/A	mapped	984-1007
expr_needs_shared_value_retain	collapse/observe/decay (shared RC management)	Metadata analysis (no IR emitted)	N/A	mapped	1009-1038
obvious_ast_type_byte_width	type utils (byte width)	Metadata analysis (no IR emitted)	N/A	mapped	1040-1043
obvious_llvm_type_alignment	type utils (alignment)	Metadata analysis (no IR emitted)	LLVMGetAlignment equivalent	mapped	1045-1051
ptr_offset_stride_matches_llvm_type	collapse (ptr_offset)	Metadata analysis (stride check)	N/A	mapped	1053-1065
safe_memory_access_alignment	collapse/observe (alignment safety)	align N on load/store	LLVMSetAlignment	mapped	1067-1077
target_is_x86_64	systems (target detection)	target triple matching	N/A	mapped	1079-1084
target_is_windows_x64	systems (target detection)	target triple matching	N/A	mapped	1086-1088
target_is_bare_metal	systems (target detection)	target triple matching	N/A	mapped	1090-1092
escape_llvm_inline_asm_fragment	asm (inline assembly)	String escaping for LLVM IR asm	N/A	mapped	1094-1104
emit_inline_asm_call	asm (inline assembly)	call void asm [sideeffect] [inteldialect] "template", "constraints"(operands)	LLVMGetInlineAsm (via template)	mapped	1106-1189
compile_inline_asm	asm (inline assembly)	compile_expr → coerce_to_i64 → emit_inline_asm_call	LLVMGetInlineAsm	mapped	1191-1206
compile_cpu_fence	systems (fence)	call void asm sideeffect "mfence/lfence/sfence", "~{memory}"	LLVMGetInlineAsm (fence)	mapped	1208-1224
compile_cpu_cache_flush	systems (cache flush)	call void asm sideeffect "clflush ($0)", "~{memory}"(i64)	LLVMGetInlineAsm (clflush)	mapped	1226-1253
