id	status	severity	category	title	description	source	filed	fix	notable
HL-DATA-001	fixed	P0	draw_pixels.c	Fallback grey 0xFF888888 hardcoded	C substrate invents a visible grey color when no fill is set. Violates "all visual values through vtable". Should be transparent (0x00000000) so Kain code owns the default.	audit_data_driven_2.md	2026-06-28		One-line fix: change `fill_color = 0xFF888888` to `continue` (skip unsized items)
HL-DATA-002	fixed	P0	box_math.c	20KB stack arrays (5x1024 ints)	5 stack arrays of 1024 ints each = ~20KB on C stack. Risk of overflow on embedded/WASM targets. MAX_CHILDREN=1024 also duplicates KAINTANA_MAX_CHILDREN from internal.h.	audit_data_driven_1.md	2026-06-28		Replace with arena allocation or dynamic sizing
HL-DATA-003	fixed	P1	color.c	24 hardcoded theme colors in named table	color.c lines 78-91 contain 24 theme color values (0xFF1A1A2E, 0xFF0F3460, etc.) that are exactly what killed KUIF — visual defaults baked into C. Keep only CSS web colors.	audit_data_driven_2.md	2026-06-28		Remove entries "bg" through "border"; keep only CSS web colors (red/green/blue/black/white/transparent/gray)
HL-DATA-004	fixed	P1	tree.c	node_capacity uses 2048 instead of KAINTANA_MAX_NODES (4096)	tree.c:127 hardcodes 2048 while internal.h defines KAINTANA_MAX_NODES=4096. Two diverging limits causes confusion when internal.h changes.	audit_data_driven_1.md	2026-06-28		Replace literal 2048 with KAINTANA_MAX_NODES
HL-DATA-005	fixed	P1	tree.c	layout_capacity uses 2048 instead of KAINTANA_MAX_NODES (4096)	tree.c:139 same divergence as node_capacity. Layout capacity should track node capacity.	audit_data_driven_1.md	2026-06-28		Replace literal 2048 with KAINTANA_MAX_NODES
HL-DATA-006	fixed	P1	color.c	0xFF000000 fallback on parse failure (6 sites)	color.c returns solid black 0xFF000000 when hex parsing fails. Should return 0 (transparent) or an error sentinel so Kain code detects the failure.	audit_data_driven_2.md	2026-06-28		Change 6 return sites from 0xFF000000 to 0x00000000
HL-DATA-007	fixed	P2	box_math.c	flex_basis sentinel uses 0.0f instead of UNDEFINED	box_math.c:22 uses `l->flex_basis != 0.0f` to mean "auto = use intrinsic size" while rest of file uses IS_UNDEF/UNDEFINED (FLT_MAX*0.5f). Fragile — mixing sentinel strategies creates latent bug path.	audit_data_driven_1.md	2026-06-28		Use IS_UNDEF(l->flex_basis) consistently
HL-DATA-008	fixed	P2	draw_pixels.c	1.0e6f clip infinity unnamed	draw_pixels.c:1000-1001 uses bare 1.0e6f for "effectively unlimited" initial clip bounds. Unexplained magic number.	audit_data_driven_2.md	2026-06-28		#define KT_CLIP_INFINITE 1.0e6f
HL-DATA-009	fixed	P2	draw_pixels.c	128 duplicates KAINTANA_DRAW_BATCH_INIT	draw_pixels.c:893 hardcodes 128 for minimum batch capacity. internal.h:48 already defines KAINTANA_DRAW_BATCH_INIT 128.	audit_data_driven_2.md	2026-06-28		Use KAINTANA_DRAW_BATCH_INIT instead of literal 128
HL-DATA-010	open	P2	tree.c	tree.c uses 2048 instead of KAINTANA_MAX_NODES (4096)	Same as HL-DATA-004/005 but consolidated. Three hardcoded capacity sites in tree.c use 2048 while internal.h defines 4096.	audit_data_driven_1.md	2026-06-28		Consolidate all capacity hardcodes to use KAINTANA_MAX_NODES
HL-DATA-011	fixed	P3	draw_pixels.c	256 fixed-point scale unnamed (6+ sites)	draw_pixels.c uses bare 256 in 6+ places for 8.8 fixed-point conversions. Should be #define KT_FIXED_POINT_SCALE 256 with documentation.	audit_data_driven_2.md	2026-06-28		Create KT_FIXED_POINT_SCALE, use in all 6+ sites
HL-DATA-012	fixed	P3	damage.c	Phase count 3 is magic number	damage.c:358 uses bare `for (int i = 0; i < 3; i++)`. Phase count is architectural constant that should be #define KAINTANA_PHASE_COUNT 3.	audit_data_driven_2.md	2026-06-28		Add #define KAINTANA_PHASE_COUNT 3 to internal.h or damage.c
HL-DATA-013	fixed	P3	tree.c	sort_dir encoded by array index	tree.c:157 uses `(i == 1) ? -1 : 1` for sort direction, depending on array index matching phase enum values. If heaps array is reordered, sort silently breaks.	audit_data_driven_1.md	2026-06-28		Create phase→direction data table keyed by kt_Phase enum values
HL-DATA-014	fixed	P3	tree.c	heaps[3] magic number	tree.c:155 uses bare `3` for heap array size. Should use named constant.	audit_data_driven_1.md	2026-06-28		Use KAINTANA_PHASE_COUNT instead of literal 3
HL-DATA-015	fixed	P4	damage.c	Full-rebuild threshold 30% unnamed	damage.c:430 uses `> 30` for percentage threshold that triggers full rebuild. Should be named #define with research citation.	audit_data_driven_2.md	2026-06-28		#define KAINTANA_FULL_REBUILD_PCT 30
HL-DATA-016	fixed	P4	tree.c	native_scale clamp limits unnamed	tree.c:331-332 uses bare 0.1f and 10.0f for native scale clamping. These relate to but are distinct from KT_ZOOM_MIN/MAX. Should have their own named defines.	audit_data_driven_1.md	2026-06-28		Add KAINTANA_NATIVE_SCALE_MIN 0.1f / KAINTANA_NATIVE_SCALE_MAX 10.0f
