risk_score,file,function,line,operators,alloc_hits,guard_hits,has_cast,expression,reasons
95,contract.c,contract_analyze_services,558,*|+,malloc(,,1,json = (char*)malloc((size_t)file_size + 1);,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | sentinel/null byte style increment
95,core.c,array_new,543,*,malloc(,,1,arr->data = (long long*)malloc((size_t)arr->cap * sizeof(long long));,no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | pointer or indexed arithmetic
95,core.c,array_push,561,*,realloc(,,1,"arr->data = (long long*)realloc(arr->data, (size_t)arr->cap * sizeof(long long));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | pointer or indexed arithmetic
95,input_system.c,abi_input_begin_frame,551,*,memcpy(,,1,"memcpy(session->frame_events, session->pending_events, sizeof(KainNativeInputEvent) * (size_t)session->frame_event_count);",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | pointer or indexed arithmetic
95,json.c,json_clone_value,237,*,calloc(,,1,"out->fields = (KainJsonEntry*)calloc((size_t)value->field_count, sizeof(KainJsonEntry));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | pointer or indexed arithmetic
95,json.c,json_clone_value,249,*,calloc(,,1,"out->items = (KainJsonValue**)calloc((size_t)value->item_count, sizeof(KainJsonValue*));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | pointer or indexed arithmetic
95,json.c,json_object_reserve,315,*,realloc(,,1,"fields = (KainJsonEntry*)realloc(object->fields, (size_t)capacity * sizeof(KainJsonEntry));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | pointer or indexed arithmetic
95,json.c,json_object_reserve,319,*|+|-,memset(,,1,"memset(fields + object->field_capacity, 0, (size_t)(capacity - object->field_capacity) * sizeof(KainJsonEntry));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | pointer or indexed arithmetic
95,json.c,json_array_reserve,338,*,realloc(,,1,"items = (KainJsonValue**)realloc(array->items, (size_t)capacity * sizeof(KainJsonValue*));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | pointer or indexed arithmetic
95,json.c,json_array_reserve,342,*|+|-,memset(,,1,"memset(items + array->item_capacity, 0, (size_t)(capacity - array->item_capacity) * sizeof(KainJsonValue*));",no nearby overflow or range guard | size math feeds allocation or copy sink | multiplication can amplify overflow | explicit cast in arithmetic site | pointer or indexed arithmetic
