code	severity	message	cause	fix
KAIN-BORROW-0001	error	A borrow-checking rule has been violated	Ownership system enforces single-writer or multiple-reader semantics on shared state	See specific borrow error codes
KAIN-BORROW-0002	error	Multiple Mutable Borrows	A mutable reference overlaps with another active mutable/immutable reference	Restructure borrows to not overlap, or use explicit scope to shorten lifetimes
KAIN-BORROW-0003	error	Borrow And Mutation Conflict	Value is borrowed while a mutation occurs through another path	Complete all borrows before mutating, or clone the value
KAIN-BORROW-0004	error	Use After Move	A value has been moved and is used afterwards	Clone before the move, or restructure to borrow instead
KAIN-BORROW-0005	error	Shared State Without Annotation	Cross-actor access without shared/single_writer annotation	Add shared keyword or appropriate synchronization
KAIN-BORROW-0006	error	Single Writer Violation	single_writer state mutated from multiple locations simultaneously	Serialize writes through a single owner
KAIN-BORROW-0007	error	Weak Reference Upgraded Unsafely	A weak reference was upgraded but target already dropped	Use ? operator or if let when upgrading weak refs
KAIN-BORROW-0008	error	Lifetime Mismatch	A reference outlives the value it points to	Keep owned value alive longer, or clone
KAIN-BORROW-0009	error	Send Constraint Violation	Value sent across actors does not satisfy Send trait	Ensure all fields satisfy Send, or use serialization boundary
KAIN-BORROW-0010	warning	Implicit Clone On Large Value	Large value being implicitly cloned	Use &value to borrow, or add explicit .clone()
KAIN-CODEGEN-0001	error	Codegen Error	A code generation or lowering pass failed	See codegen documentation
KAIN-CODEGEN-0002	error	Unknown Codegen Variable	Backend could not find a value for a symbol	Check frontend rejection or lowering pass dropped binding
KAIN-CODEGEN-0003	error	Lowering Pass Failed	IR lowering pass could not transform intermediate representation	Simplify construct or add lowering rule for target
KAIN-CODEGEN-0004	error	Backend Compilation Failed	Native code backend could not compile generated code	Check target compatibility, reduce optimization level
KAIN-CODEGEN-0005	error	Linking Failed	Linker could not resolve all symbols	Check library paths, symbol names, target architecture
KAIN-CODEGEN-0006	error	Unsupported Target Architecture	Target is not supported by current backend	Choose supported target or enable required backend feature
KAIN-CODEGEN-0007	error	Target Capability Missing	Code uses target/capability not provided by compilation target	Guard with if capability(...) or change compilation target
KAIN-CODEGEN-0008	error	Foreign ABI Mismatch	FFI declaration does not match actual linked symbol	Align Kain FFI declaration with native library ABI
KAIN-CODEGEN-0009	error	Codegen Intrinsic Not Found	Required compiler intrinsic not available for target platform	Use portable alternative or add platform-specific impl
KAIN-CODEGEN-0010	warning	Optimization Pass Failed	Optimization pass encountered unexpected IR state	Report issue with reproduction; code is still correct
KAIN-CODEGEN-0011	error	Codegen Budget Exceeded	Code generation exceeded resource budget	Split compilation unit, reduce inlining, increase budget
KAIN-ACTOR-0001	error	Component/Actor Error	A component or actor system invariant has been violated	See actor documentation
KAIN-ACTOR-0002	error	Actor Spawn Failed	spawn could not create the actor or component	Ensure world is alive and actor type is registered
KAIN-ACTOR-0003	error	Send To Invalid Actor	send targets an actor that does not exist or is destroyed	Check target actor is alive and handles the message type
KAIN-ACTOR-0004	error	Receive Handler Missing	Actor lacks receive handler for message type sent to it	Add receive block for the unhandled message type
