id	core_subsystem	kaintana_file	change	priority	status	z3_proofs	notes
P0-1	arena.h (KAIN_ARENA_MAIN)	tree.c, arena.c, internal.h	Replace ALL malloc/free with kain_arena_alloc_lo(). Per-frame marker in begin_frame/end_frame. 64KB default arena + virtual alloc for session struct.	P0	done	833 CBMC + Z3	Session struct allocated via kain_virtual_reserve_and_commit(). Arena for all per-frame allocations. No remaining malloc/free/calloc.
P0-2	component_surface.h	kaintana.h	kaintana.h must MATCH exact slot order and signatures of component_surface.h. Slot numbers are ABSOLUTE.	P0	partial	—	Compiler LLVM codegen emits calls through this layout. Single include prevents drift.
P0-3	component_surface.c	kaintana.h, kaintana_init()	Call kain_component_surface_register("kaintana", &vtable) at startup. Must happen BEFORE renderer_session_boot().	P0	done	—	kain_component_surface_register(KAINTANA_SURFACE_NAME, &kaintana_vtable) in kt_init() at line 135.
P0-4	kain_host.h (kainHostVTable)	backends/win32/host_win32.c	Use get_framebuffer() slot for pixel buffer. Win32: CreateDIBSection top-down 32-bit DIB, BitBlt on present.	P0	partial	—	Win32 host exists, needs retrofitting from old ui_system.c pattern.
P0-5	renderer_session.h/c	kaintana_init(), kaintana_backend_init()	Call renderer_session_boot() to resolve RENDERER_BACKEND env var, probe GPU shims, fall back to software.	P0	not started	—	Resolved active_surface is the vtable Kaintana calls through.
P0-6	platform.h	kaintana_init(), backends/	kain_platform_current_kind() -> select backend. Check service mask for clipboard/app-host/input.	P0	not started	—	
P0-7	native_core_runtime.toml	ALL ui_v2/ files	Replace old src/ui/*.c with src/ui_v2/*.c. Add backend files under platform sources. Run update_runtime.py.	P0	not started	—	
P0-8	input_system.h	tree.c	Replace abi_ui_push_event/abi_ui_poll_event with abi_input_push_event/abi_input_event_count/abi_input_event_kind.	P0	done	Z3 (collision-free)	All input functions (mouse_move/down/up/scroll) use abi_input_push_event(). abi_input_session_create("kaintana") called in kt_make(). Event count/kind wired into poll_event.
P0-9	input_system.h	tree.c	Use abi_input_action_pressed/down/released for slot 23 callback dispatch.	P0	partial	Z3 (action binding)	Input session created, action bindings ready for slot 23. Slot 23 callback dispatch (v_element_set_callback) still a stub — full wired in P2-39.
P0-10	input_system.h	tree.c	Call abi_input_begin_frame() each frame for action/axis event reduction.	P0	done	Z3 (hash probe bounds)	abi_input_begin_frame() called in kt_begin() at line 265 (gated by input_sid).
P0-11	diagnostics.h/c	ALL core files	Use KAIN_DIAG_SUBSYSTEM_UI (code range 5000-5999) for invalid attributes, layout overflow, render errors.	P0	done	—	6 new KT_DIAG_CODE_UI_* codes in kaintana.h (§1B). kaintana__diag_ui() helper in tree.c. Wired into node_alloc, v_element_set_attr_i64/f64/string, kt_backend_select failure paths.
P0-12	crash_handler.h/c	ALL Kaintana files	No changes needed. Crash handler binary-searches compiler-emitted crash table. Kaintana structures already in-process.	P0	already works	Z3 (crash table)	Free correctness via existing infrastructure.
P0-13	memory.c (KainAllocHeader)	arena.c	Kaintana's arena uses raw bump alloc — no headers per node. Separate from heap-managed memory. Already clean.	P0	already works	Z3 (alloc header)	
P0-14	handle.h	tree.c, hash_table.c	Use kain_handle_table_acquire/resolve for stable key->node mapping. Z3 generation-tagged handles reject stale refs.	P0	done	Z3 (4 proofs)	Handle table initialized in kt_make() via kain_handle_table_init(). Handle acquired for each stable-key node in kt_row(). Handles provide generation-tagged identity.
P0-15	handle.h	tree.c	State keys (i64/f64/string) stored on hidden __kain_state_root node, resolved via handle.	P0	partial	—	Handle table initialized and ready for state root. Full state-key migration to hidden handle-based node deferred — state_entries array still primary. Root node (index 0) serves as implicit state root.
P0-16	input_system.h (same hash)	hash_table.c, tree.c	Use FNV-1a open-addressing hash (same as input_system). Z3-proven collision bounds.	P0	done	Z3 (hash bounds)	hash_table.c already uses FNV-1a open-addressing with no probe limit (BUG-012 fixed). Max load 256/4096 (6.25%), average 1.07 probes. Same hash algorithm as input_system.
