code	title	severity	category	summary	example_bad	example_good	spec
KAIN-BORROW-0001	Borrow Error	error	borrow/general	A borrow-checking rule has been violated.			yes
KAIN-BORROW-0002	Multiple Mutable Borrows	error	borrow/multiple-mutable	A mutable reference to shared state overlaps with another active mutable or immutable reference.	"let mut x = 0
a = &mut x
b = &mut x"	"let mut x = 0
{
    a = &mut x
}
b = &mut x"	yes
KAIN-BORROW-0003	Borrow And Mutation Conflict	error	borrow/borrow-mutation-conflict	A value is borrowed while a mutation occurs through another path.			yes
KAIN-BORROW-0004	Use After Move	error	borrow/use-after-move	A value has been moved and is used afterwards.	"x = [1,2,3]
y = x
print(x)"	"x = [1,2,3]
y = x.clone()
print(x)"	yes
KAIN-BORROW-0005	Shared State Without Annotation	error	borrow/missing-shared-annotation	State from multiple actors must be annotated shared or single_writer.			yes
KAIN-BORROW-0006	Single Writer Violation	error	borrow/single-writer-violation	single_writer state mutated from multiple locations simultaneously.			yes
KAIN-BORROW-0007	Weak Reference Upgraded Unsafely	error	borrow/weak-upgrade	Weak reference upgraded but target has been dropped.	strong = weak_ref.upgrade()	if let Some(strong) = weak_ref.upgrade(): ...	yes
KAIN-BORROW-0008	Lifetime Mismatch	error	borrow/lifetime-mismatch	A reference outlives the value it points to.	"let ref: &i32
{
    x = 5
    ref = &x
}
print(ref)"	"x = 5
ref = &x
print(ref)"	yes
KAIN-BORROW-0009	Send Constraint Violation	error	borrow/send-violation	A value is being sent but does not satisfy the Send trait.			yes
KAIN-BORROW-0010	Implicit Clone On Large Value	warning	borrow/large-clone	A potentially large value is being implicitly cloned.			yes
KAIN-CODEGEN-0001	Codegen Error	error	codegen/general				yes
KAIN-CODEGEN-0002	Unknown Codegen Variable	error	codegen/unknown-variable				yes
KAIN-CODEGEN-0003	Lowering Pass Failed	error	codegen/lowering-failed				yes
KAIN-CODEGEN-0004	Backend Compilation Failed	error	codegen/backend-failed				yes
KAIN-CODEGEN-0005	Linking Failed	error	codegen/linking-failed				yes
KAIN-CODEGEN-0006	Unsupported Target Architecture	error	codegen/unsupported-target				yes
KAIN-CODEGEN-0007	Target Capability Missing	error	codegen/capability-missing				yes
KAIN-CODEGEN-0008	Foreign ABI Mismatch	error	codegen/foreign-abi-mismatch				yes
KAIN-CODEGEN-0009	Codegen Intrinsic Not Found	error	codegen/intrinsic-not-found				yes
KAIN-CODEGEN-0010	Optimization Pass Failed	warning	codegen/optimization-failed				yes
KAIN-CODEGEN-0011	Codegen Budget Exceeded	error	codegen/budget-exceeded				yes
KAIN-ACTOR-0001	Component/Actor Error	error	actor/general				yes
KAIN-ACTOR-0002	Actor Spawn Failed	error	actor/spawn-failed				yes
KAIN-ACTOR-0003	Send To Invalid Actor	error	actor/send-invalid				yes
KAIN-ACTOR-0004	Receive Handler Missing	error	actor/receive-missing				yes
KAIN-ACTOR-0005	Emit Without Listener	warning	actor/emit-no-listener				yes
KAIN-ACTOR-0006	Decay Transition Invalid	error	actor/decay-invalid				yes
KAIN-ACTOR-0007	Component Lifecycle Violation	error	actor/lifecycle-violation				yes
KAIN-ACTOR-0008	On Handler Duplicate	error	actor/on-duplicate				yes
KAIN-COMPTIME-0001	Comptime Error	error	comptime/general				yes
KAIN-COMPTIME-0002	Comptime Recursion Limit Exceeded	error	comptime/recursion-limit				yes
