function_name	kain_concept	llvm_ir_pattern	llvm_c_api	status	lines
compile_native_option_or_result_variant	Option/Result tagged value	`None`→null; `Some/Ok/Err`→compile_expr → compile_tagged_value/borrowed_pointer_handle	LLVMBuildCall2, LLVMBuildIntToPtr	mapped	868-913
compile_native_variant_function_call	Some/Ok/Err variants	`Some(val)`: extract literal → borrowed pointer handle, else compile_expr→tagged; `Ok/Err(val)`: same with Result tags	LLVMBuildCall2, LLVMBuildIntToPtr	mapped	915-973
compile_async_block	async/await Future	`call i8* @abi_future_ready_from_value(i8* %payload_ptr, i64 %size)`	LLVMBuildCall2	mapped	975-985
extract_immediate_ready_future_payload_expr	async future inlining	Pattern-match Expr::AsyncBlock/Return/Paren to extract inner payload	none (Rust pattern match)	mapped	987-996
extract_zero_arg_immediate_ready_future_payload	async future zero-arg	fn returns Future; single return/expr body → extract payload for inlining	none (Rust analysis)	mapped	998-1025
compile_immediate_ready_future_for_target_type	async future inlining for type	Inline AsyncBlock/Paren/Call payload into target type	LLVMBuildCall2 (via compile_expr_for_target_type)	mapped	1027-1052
compile_await_for_target_type	await expression	Tries immediate inlining; else `compile_tagged_payload_copy(future, target, "abi_future_await_payload_copy")`	LLVMBuildCall2, LLVMBuildAlloca, LLVMBuildLoad2	mapped	1054-1080
compile_try_for_target_type	try operator (`?`)	Test is_success tag; br payload/residual; residual → ret boxed_value; payload → compile_tagged_value_payload_copy	LLVMBuildICmp, LLVMBuildPhi, LLVMBuildCall2	mapped	1082-1127
coerce_to_i64_storage	value→i64 coercion	sext i32→i64, zext i1→i64, sext i8→i64, fptosi.sat f64→i64, ptrtoint ptr→i64, KAIN_alloc+store %T+ptrtoint for struct values	LLVMBuildSExt, LLVMBuildZExt, LLVMBuildCall2, LLVMBuildPtrToInt	mapped	1129-1193
coerce_runtime_array_storage_from_compiled	runtime array storage	bitcast double→i64 for array storage; fallback coerce_to_i64_storage	LLVMBuildBitCast	mapped	1195-1205
expr_returns_json_handle	JSON handle detection	Delegates to expr_carries_json_value	none (Rust helper)	mapped	1207-1209
