command	subcommand	args	purpose	example
kain	check	<input> [--target <TARGET>] [--json] [--json-out <FILE>] [--fail-fast] [--pedantic] [--audit]	Typecheck source without emitting artifacts	kain check src/main.kn --json
kain	build	native-ui <INPUT> [--root <COMPONENT>] [--app-name <NAME>] [--window-title <TITLE>] [-o/--out <DIR>] [--bundle-only] [--release] [--host qt|tauri]	Build Kain UI source to native desktop app	kain build native-ui src/app.kn --app-name MyApp
kain	run	[input] [--target auto] [-g/--debug] [--json] [--dry-run] [--keep-artifacts] [-- <ARGS>...]	Compile + execute through unified pipeline	kain run src/main.kn --target llvm -- -arg1
kain	run	dev <input> [--dry-run] [-- <ARGS>...]	Dev loop — watch + re-run on changes	kain run dev src/main.kn
kain	run	plan <input> [--json]	Print resolved run plan without executing	kain run plan src/main.kn
kain	test	<input> [--mode check-pass|check-fail|run-pass|run-fail|kain-test] [--target <TARGET>] [--ignored] [--fail-fast] [--json] [--json-out <FILE>]	Run Kain source tests with compiletest directives	kain test src/ --json
kain	doctor	[--repair <FILE>] [--repair-tree <DIR>] [--repair-preview] [--profile safe|aggressive]	Show binary/build diagnostics and environment wiring	kain doctor
kain	clean	[path] [--scope build|run|amalgamate|all] [--dry-run] [--json]	Clean build/run/amalgamate artifacts	kain clean --scope build --dry-run
kain	format	<inputs...> [--check] [-w/--write]	Canonical source formatting	kain fmt src/ --check
kain	repl		Interactive REPL session	kain repl
kain	watch	[input] [--target auto] [-g/--debug] [-- <ARGS>...]	Watch file changes + re-run automatically	kain watch src/main.kn
kain	init	[path] [--name <NAME>]	Scaffold a new Kain project	kain init my-project
kain	add	<package> [--version <VER>] [--manifest <FILE>]	Record capsule-backed dependency in KAIN.lock	kain add ./path/to/mylib.kn
kain	install	<package> [--version <VER>]	Install package into global Kain package store	kain install mylib
kain	publish	<input> [-o/--output <PATH>] [--name <NAME>] [--version <VER>] [--artifacts] [--evidence] [--archive]	Publish portable source capsule(s)	kain publish . --name my-lib --version 1.0.0
kain	amalgamate	[input] [-o/--output <OUT>] [--name <NAME>] [--version <VER>] [--author <AUTHOR>] [--tag <TAG>] [--meta KEY=VALUE] [--contents source|snapshot|assets|artifacts|evidence] [--archive] [--raw] [--header rich|minimal|off] [--compression zstd|none] [--capsule-set <NAME>] [--api-index auto|off] [--module-index auto|off]	Pack sources into portable capsule (.kn file)	kain amalgamate src/ -o mylib.kn --archive
kain	amalgamate	inspect <input> [--json]	Inspect capsule metadata + file inventory	kain amalgamate inspect mylib.kn
