function_name	kain_concept	llvm_ir_pattern	llvm_c_api	status	lines
runtime_symbol_for_stdlib_function	Stdlib (C ABI bridge)	Maps stdlib fn names to C runtime symbols (kain_floor_i64, etc.)	N/A (name mapping helper)	mapped	234-241
stdlib_function_uses_borrowed_string_param	Stdlib (string params)	Parameter index check for borrowed string usage in stdlib functions	N/A (parameter inspection)	mapped	243-248
kain_map_codegen_mix_u64	Map (hash utility)	Pure u64 mixing with wrapping_mul/shift/rotate	N/A (hash algorithm)	mapped	250-257
kain_map_codegen_hash_bytes	Map (hash utility)	Bytes→u64 hash with Murmur-like mixing	N/A (hash algorithm)	mapped	259-284
kain_map_codegen_magic_prefix_state	Map (hash utility)	4-word→u64 folded prefix with magic constants	N/A (hash prefix state)	mapped	286-304
kain_map_codegen_static_key_metadata	Map (hash utility)	Extracts (key_length, key_hash, key_prefix) from static key string	N/A (metadata extraction)	mapped	306-335
llvm_runtime_declaration_is_preemitted	Runtime (pre-declared)	Checks if a C ABI function name is pre-emitted in LLVM IR preamble	N/A (name matching)	mapped	337-382
python_import_binding_infos	Python import	Extracts PythonImportInitKind from Import AST (Module/Member variants)	N/A (binding extraction)	mapped	384-422
llvm_orchestrate_trace_enabled	Orchestrate (trace)	Reads KAIN_LLVM_ORCHESTRATE_TRACE / KAIN_NATIVE_PROFILE env vars	N/A (env var check)	mapped	424-447
resolve_host_llvm_target_descriptor	LLVM target (host)	Returns LlvmTargetDescriptor::host()	LLVMGetHostTargetTriple-like	mapped	449-451
resolve_llvm_target_for_compile_target	LLVM target (cross-compile)	Returns descriptor for BareMetal (x86_64-unknown-none) or host	LLVMGetDefaultTargetTriple-like	mapped	454-461
generate	Codegen (entry)	Public entry: generate_with_target(program, &host_descriptor)	LLVMPrintModuleToFile-like	mapped	463-465
generate_with_target	Codegen (entry)	Public: generate_with_options(program, false, None, "", target)	LLVMTargetMachineEmit-like	mapped	467-472
generate_llvm_for_target	Codegen (cross-target)	Public: generates for optional target triple	LLVMCreateTargetMachine-like	mapped	478-487
generate_with_debug	Codegen (debug)	Public: generates with DWARF debug metadata from source	LLVMSetCurrentDebugLocation-like	mapped	495-503
generate_with_debug_for_target	Codegen (cross-debug)	Public: generates with debug info for a target triple	LLVMSetCurrentDebugLocation-like	mapped	510-521
generate_with_options	Codegen (internal)	Internal: memory lowering → validation → LlvmGenerator::new → compile_module	LLVMContextCreate/ModuleCreate-like	mapped	523-547
codegen_error	Codegen (diagnostics)	Creates KainError with DiagnosticReport + semantic enrichment	N/A (error construction)	mapped	846-858
expr_is_full_width_initial_store_on_target	Ownership (ephemeral elision)	Checks Expr::Call/__kain_mem_store or Expr::MemStore storing full width on target pointer	LLVMBuildStore (if matched)	mapped	~862-891
stmt_is_full_width_initial_store_on_target	Ownership (ephemeral elision)	Delegates to expr_is_full_width_initial_store_on_target via Stmt::Expr	N/A (delegation)	mapped	~893-909
collapse_body_begins_with_full_width_store	Ownership (ephemeral elision)	Checks if collapse body's first stmt is a full-width store on target	LLVMBuildStore (via analysis)	mapped	~911-938
remaining_statements_allow_ephemeral_zero_init_elision	Ownership (ephemeral elision)	Iterates remain stmts; allows elision if collapse/full-store, rejects if observe/decay/fn-ref	LLVMBuildStore/LLVMBuildLoad (via pattern)	mapped	~940-1007
expr_is_safe_for_ephemeral_local	Ownership (ephemeral safety)	Recursive safety check: int/float/string/bool/none/alloca/uninit safe; instructions referencing target not safe	N/A (safety analysis)	mapped	~1009-1245
