module	function	signature	js_handler_location	description
electron_bridge	scene_clear	scene_clear()	SceneManager.execute case 'clear' → _clear()	Wipes every object, light, and instanced mesh from the scene
electron_bridge	camera_look_at	camera_look_at(pos_x: Float, pos_y: Float, pos_z: Float, target_x: Float, target_y: Float, target_z: Float)	SceneManager.execute case 'camera' → _camera()	Set camera position and look-at target
electron_bridge	create_mesh	create_mesh(id: String, geometry: String, color_hex: String)	SceneManager.execute case 'create' switch 'mesh' → _create()	Single 3D mesh. geometry: box|sphere|cylinder|cone|torus|torusKnot|ring|plane|circle|tube|tetrahedron|octahedron|icosahedron|dodecahedron
electron_bridge	create_instanced	create_instanced(id: String, geometry: String, count: Int, color_hex: String)	SceneManager.execute case 'create' switch 'instanced' → _create()	Instanced mesh — one draw call for N objects. Use for 10K+
electron_bridge	create_particles	create_particles(id: String, count: Int, color_hex: String)	SceneManager.execute case 'create' switch 'particles' → _create()	Particle system with N points (THREE.PointsMaterial, default size 0.08)
electron_bridge	create_lines	create_lines(id: String, color_hex: String)	SceneManager.execute case 'create' switch 'lines' → _create()	Line geometry (THREE.Line with LineBasicMaterial)
electron_bridge	create_custom_mesh	create_custom_mesh(id: String, verts: JsonArray, indices: JsonArray, color_hex: String)	SceneManager.execute case 'create' switch 'custom_mesh' → _create()	Raw vertex+index buffers. verts: flat [x0,y0,z0, …]. indices: flat [i0,i1,i2, …] — 3 per triangle
electron_bridge	update_transform	update_transform(id: String, x: Float, y: Float, z: Float, sx: Float, sy: Float, sz: Float)	SceneManager.execute case 'update' → _update(pos+scale)	Single-object position + scale (no rotation)
electron_bridge	update_transform_r	update_transform_r(id: String, x: Float, y: Float, z: Float, rx: Float, ry: Float, rz: Float, sx: Float, sy: Float, sz: Float)	SceneManager.execute case 'update' → _update(pos+rot+scale)	Single-object position + Euler rotation + scale
electron_bridge	update_instanced_transforms	update_instanced_transforms(id: String, transforms: JsonArray)	SceneManager.execute case 'update' → _update(matrices)	Bulk transform for instanced meshes. transforms: [{x,y,z,sx,sy,sz,rx,ry,rz}, …]
electron_bridge	update_particle_positions	update_particle_positions(id: String, positions: JsonArray)	SceneManager.execute case 'update' → _update(positions)	Update particle positions. positions: [{x,y,z}, …]
electron_bridge	update_line_points	update_line_points(id: String, points: JsonArray)	SceneManager.execute case 'update' → _update(points)	Rebuild line geometry points. points: [{x,y,z}, …]
electron_bridge	update_color	update_color(id: String, color_hex: String)	SceneManager.execute case 'update' → _update(color)	Change material color of an existing object
electron_bridge	update_custom_verts	update_custom_verts(id: String, verts: JsonArray)	SceneManager.execute case 'update' type='custom_mesh' → _update(verts)	Modify vertex positions of existing custom mesh. verts must match original count
electron_bridge	remove	remove(id: String)	SceneManager.execute case 'remove' → _remove()	Delete object by ID (works on meshes, instanced, particles, lines)
electron_bridge	telemetry	telemetry(key: String, value: Int)	SceneManager.execute case 'telemetry' → _telemetry() → propsData → renderProps()	Emit named integer counter to HUD Props tab
