type	section	name	path	description
section	Architecture Overview		arch	Complete multi-layer architecture: UI Layer (retained-mode + Phase 1 Kain substrate), Platform Layer (win32/linux/macos), Core Layer (memory, concurrency, compiler-semantic, system services, infrastructure, Z3 proofs)
section	GPU Backend Architecture		gpu-arch	Two-layer GPU backend design: Layer 1 Runtime Shims (~650 lines in src/core/) and Layer 2 ABI Libraries (~2,900 lines in extras/<name>-abi/)
section	Backends		gpu-backends	Table of 3 GPU backends: Vulkan (shim + ABI lib), D3D12 (shim + ABI lib), WebGPU (shim + ABI lib)
section	ABI Paths		gpu-abi-paths	5 Kain-to-runtime convergence paths through KainComponentSurface (24-slot vtable, 192 bytes on x64)
section	Build Gates		gpu-build-gates	3 compile-time gates: KAIN_RUNTIME_HAS_VULKAN_LOADER, _D3D12, _WEBGPU
section	Raw PFN Access		gpu-vulkan-pfn	Vulkan ABI library exposes KainVulkanPfnTable (57 PFNs) for blade-level raw Vulkan consumers
section	Precedent		gpu-precedent	Architecture mirrors cuda_runtime.c pattern: shim owns catalog entry + dlopen; library owns concrete GPU calls
section	GPU Backend ABI Libraries		gpu-abi-libs	Separately-linked GPU ABI libraries in extras/ directory
section	extras/vulkan-abi/ (~2,050 lines)		gpu-extras-vulkan	libkain-vulkan-abi.so/.dll: 43+ Vulkan PFNs, per-platform WSI surfaces, swapchain lifecycle, 18 vtable slots, KainVulkanPfnTable
section	extras/d3d12-abi/		gpu-extras-d3d12	libkain-d3d12-abi.dll: Direct3D 12 backend, native mesh shader pipeline support (ShaderStage::Mesh + Task), Windows-only
section	extras/webgpu-abi/ (~870 lines)		gpu-extras-webgpu	libkain-webgpu-abi.so: WebGPU via wgpu-native, WASM browser fallback, WGSL subgroup intrinsics
section	Directory Layout		dir-layout	Full directory tree for runtime/native/ including src/core/, src/platform/, src/ui/, include/, test/, Makefile, manifest files
section	Core Layer (`src/core/`)		core	Core runtime subsystems: Initialization & Lifecycle, Crash Forensics, Memory & Ownership, Concurrency, Compiler-Semantic Runtime, System Services, Data & Interop, Attrition & Reflection
section	Initialization & Lifecycle		core-init	Runtime bootstrap, shutdown, version, diagnostics, profiling, service registry, contract loading, compatibility
section	Crash Forensics		core-crash	Cross-platform crash forensics via compiler-emitted __kain_crash_table, no external dependencies
section	Memory & Ownership		core-memory	Arena allocator (833 CBMC props), buddy allocator, deferred free, virtual alloc, ownership state machine (collapse/observe/decay), fixup, handles, bitfield, union access
section	Concurrency		core-concurrency	Actor runtime (5,676 CBMC props), async task/future, fanout, batch queue
section	Compiler-Semantic Runtime		core-semantic	Entangle registry, converge multi-lane dispatch, machine stones (axiom/pulse/shatter/teleport), data wire encoding
section	System Services		core-services	Networking, process management, input, graphics kernel, renderer backends, scene graph, CUDA PTX, SIMD detection
section	Data & Interop		core-interop	JSON parse/render, interop contracts, zero-copy interop, Python runtime bridge (base + async + buffers + GPU + region)
section	Attrition & Reflection		core-attrition	Attrition certification harness, reflection, host bridge, CPU feature detection
section	Platform Layer (`src/platform/`)		platform	Platform capability descriptors, OS helpers, dynamic library loader, platform-specific crash handlers
section	Common Files		platform-common	platform.c (capability descriptors), os_system.c (env, paths), platform_library.c (dlopen/LoadLibrary)
section	Windows (`src/platform/win32/`)		platform-win32	kain_win32_app_host.c, kain_win32_input_host.c, win32_shared.c, crash_handler_win32.c
section	Linux (`src/platform/linux/`)		platform-linux	crash_handler_linux.c (sigaction), linux_shared.c (proc self exe)
section	macOS (`src/platform/macos/`)		platform-macos	crash_handler_macos.c (sigaction), macos_shared.c (_NSGetExecutablePath)
section	UI Layer (`src/ui/`)		ui	Two cooperating sublayers: Retained-mode UI session and Phase 1 Kain substrate (widget-free, tree-free UI primitives)
section	Retained-Mode UI Session		ui-retained	Legacy node tree, hot-reload, compiled bundle loader, software renderer, layout engine, color, KainComponentSurface adapter
section	Phase 1 Kain Substrate (`src/ui/kain/`) — NEW		ui-kain	7 widget-free modules: geometry, surface, host vtable, input pipeline, font subsystem, damage tracker, software draw primitives
section	Substrate / Session Boundary		ui-boundary	Additive API: substrate forwards into the same abi_ui_* ABI; no breaking changes to legacy session
section	Formal Verification		verification	CBMC harnesses (check_arena 833 pass, check_actor 5,676 pass) and Z3 proof packs (140 YAML proofs)
section	CBMC Harnesses (`test/cbmc/`)		verif-cbmc	4 CBMC harnesses: check_arena, check_actor, check_crash_handler, check_crash_handler_linux; combined sources for single-TU verification
section	Z3 Proof Packs (`src/core/z3/`)		verif-z3	140 YAML proof packs (Actor, Memory, Services, Allocation domains); 8-script pipeline for automated proof lifecycle
section	Verification Pipeline (`test/`)		verif-pipeline	3-layer verification: Layer 1 Sanitizer (ASan+UBSan+TSan), Layer 2 Fuzz (libFuzzer), Layer 3 CBMC Formal Verification
section	Build System		build	Makefile for fast local dev, Bazel for production build, TOML manifests for runtime variants
section	Makefile (Fast Local Dev)		build-make	7 make targets: all, lib, shared, test, fuzz, stress, clean
section	Bazel (Production Build)		build-bazel	runtime_manifest_data.bzl auto-generated by sync_native_runtime_builds.py; native_runtime_rules.bzl with platform_select() macros
section	TOML Manifests		build-toml	4 TOML manifests: native_core_runtime.toml (canonical), native_runtime.toml (compat), native_attrition_runtime.toml, native_async_benchmark_runtime.toml
section	Service Table		services	50+ service entries with key, provider, status, description; backed by services.h/services.c registry
section	Runtime Tiers		runtime-tiers	3 compile-time control tiers: NOOP (removed), GATED (low-cost), FULL (full instrumentation); independent subsystem tiers
section	Public Headers (`include/`)		headers	50+ headers exposing public C ABI, each corresponding to a src/core/*.c source plus 7 Phase 1 kain_* headers
section	Symbol Prefixing		prefixing	kain_prefix_rename_manifest.json + kain_prefixed_symbol_inventory.json/.md for systematic kain_ prefix renaming
section	Portability		portability	3 platforms: Windows (MSVC/clang-cl, 11/11 services), Linux (GCC/clang, 5/11), macOS (Apple clang, 5/11); base.h provides POSIX→Win32 shims
file	core/init	core.c	src/core/core.c	Runtime bootstrap and shutdown. Global main() entry wrappers, RC allocator, string operations, array management, file I/O, env(), cwd(), CLI args, kain_spawn, sleep, stdout/stderr, map operations, deep_eq, parse helpers. Largest single file (~3,900 lines): catch-all for compiler-emitted ABI helpers and stdlib glue.
file	core/init	version.c	src/core/version.c	Runtime and ABI version constants. Reports version_get_info(), version_print_info(), version_check_abi_compatibility() for startup validation.
file	core/init	diagnostics.c	src/core/diagnostics.c	Structured diagnostic subsystem: KainDiagnostic records, severity levels (Info/Warning/Error/Fatal), error code ranges (1000-10999), channel filtering, KainDiagnosticCollector for batched startup reporting.
file	core/init	profile.c	src/core/profile.c	Scoped push/pop profiling zones with compile-out tiers (KAIN_RUNTIME_TIER_NOOP/GATED/FULL) and fixed-cost native timing telemetry.
file	core/init	services.c	src/core/services.c	Central service registry ("service table") with ~35 canonical services. Supports registration, lookup, status/requirement queries, validation. Backed by alias canonicalization.
file	core/init	contract.c	src/core/contract.c	Runtime contract bundle loading and validation.
file	core/init	compatibility.c	src/core/compatibility.c	Version validation, migration, hot reload, and snapshot flow for runtime upgrades.
file	core/crash	crash_handler.c	src/core/crash_handler.c	Cross-platform crash forensics core. Binary-searches compiler-emitted __kain_crash_table to map faulting IPs to source locations. Renders human-readable crash reports. No external dependencies (no libunwind, no libdwarf, no addr2line).
file	core/memory	memory.c	src/core/memory.c	Low-level memory helpers: pointer operations (bind_local, addr_of, ptr_offset, field_ptr, index_ptr), load/store, volatile byte-exact I/O, ordered atomic operations (Relaxed through SeqCst), allocation (alloc, realloc, free). KainAllocHeader embeds magic/slot/arena/memtype/flags in 8 bytes.
file	core/memory	arena.c	src/core/arena.c	Arena allocator with frame markers. Supports 4 named arenas (MAIN, SHARED, GPU, SCRATCH). Frame-based allocation with alloc_lo (bottom-up) and alloc_hi (top-down). Frame markers via set_marker/release_to_last_marker. 833 CBMC properties proven.
file	core/memory	buddy.c	src/core/buddy.c	Buddy allocator for power-of-two block sizes. Manages free lists per order, supports split/merge of blocks.
file	core/memory	deferred_free.c	src/core/deferred_free.c	Deferred deallocation queue. Batches free() calls for cache-friendly release.
file	core/memory	virtual_alloc.c	src/core/virtual_alloc.c	OS-level virtual memory page management. Wraps VirtualAlloc (Win32) and mmap (POSIX) for page-size allocation, deallocation, and protection changes.
file	core/memory	ownership.c	src/core/ownership.c	Runtime backing for collapse/observe/decay ownership semantics. Tracks region kinds and state machines (idle/observed/collapsed/shared/decayed). Supports helper allocation slot registration, relocate tracking, deferred decay flush.
file	core/memory	fixup.c	src/core/fixup.c	Relocation fixup registry. Tracks allocations by KainRuntimeHandle, registers known pointer references for self-updating relocation, handle-aware reallocation tracking.
file	core/memory	handle.c	src/core/handle.c	Generation-tagged runtime handles (KainRuntimeHandle). Handle table with free-list slot allocation, magic validation, kind-tagged resolve/rebind/release operations.
file	core/memory	bitfield.c	src/core/bitfield.c	Bit-level field access helpers for struct bitfield operations.
file	core/memory	union.c	src/core/union.c	Union type-aware load/store operations for preserving bit patterns across type-punned access.
file	core/concurrency	actor.c	src/core/actor.c	Full actor runtime: spawn, mailbox (bounded/unbounded with backpressure), send/receive/try-receive, generation-tagged refs, reply ports, ask/ask_timeout, supervision trees, monitors, links, registry, execution classes, locality, scheduler with per-thread ready queue. 5,676 CBMC properties proven.
file	core/concurrency	async.c	src/core/async.c	Async task/future runtime: task lifecycle (Pending/Ready/Running/Completed/Cancelled/Failed), poll-based execution, wake handles, timers, task graphs, continuation scheduling, dependency wait, batch lock/unlock, kain_task_yield.
file	core/concurrency	fanout.c	src/core/fanout.c	Shared-memory fanout over OS threads. Supports compiler-owned share/fanout lowering with seq-cst atomic cells.
file	core/concurrency	batch_queue.c	src/core/batch_queue.c	Batched message queue for efficient bulk enqueue/dequeue patterns across actor and async subsystems.
file	core/semantic	entangle.c	src/core/entangle.c	World entangle registry. Tracks authority-mirror bindings with policy and type-name metadata. Supports up to 128 bindings with register/get/reset.
file	core/semantic	converge.c	src/core/converge.c	Multi-lane dispatch telemetry and lane selection. abi_converge_select_lane_for_key, commit_winner, record_telemetry with fixed-size ring buffer. Max 8 lanes, 64 telemetry samples, 64-entry tune cache.
file	core/semantic	machine_stones.c	src/core/machine_stones.c	Machine-stones substrate: runtime backing for axiom, pulse, shatter, teleport. High-res timer, capability predicate, pulse start/snapshot/stop, shatter alloc/lane_ptr/lane_base/free, teleport ptr/note. Capability bitmask.
file	core/semantic	wire.c	src/core/wire.c	Data wire encoding and transport layer for serialized cross-world data transfer.
file	core/services	net_system.c	src/core/net_system.c	Native networking: TCP sockets, protocol-aware HTTP client/server, capability-query, Windows-first HTTPS/HTTP2 client primitives.
file	core/services	process_system.c	src/core/process_system.c	Native child-process management: pipe and PTY session creation, process lifecycle, I/O redirection.
