code	title	severity	in_spec	in_compiler	status	spec_source
KAIN-ACTOR-0001	Component/Actor Error	error	yes	yes	implemented	spec_toml
KAIN-ACTOR-0002	Actor Spawn Failed	error	yes	no	spec_only	spec_toml
KAIN-ACTOR-0003	Send To Invalid Actor	error	yes	no	spec_only	spec_toml
KAIN-ACTOR-0004	Receive Handler Missing	error	yes	no	spec_only	spec_toml
KAIN-ACTOR-0005	Emit Without Listener	warning	yes	no	spec_only	spec_toml
KAIN-ACTOR-0006	Decay Transition Invalid	error	yes	no	spec_only	spec_toml
KAIN-ACTOR-0007	Component Lifecycle Violation	error	yes	no	spec_only	spec_toml
KAIN-ACTOR-0008	On Handler Duplicate	error	yes	no	spec_only	spec_toml
KAIN-BORROW-0001	Borrow Error	error	yes	yes	implemented	spec_toml
KAIN-BORROW-0002	Multiple Mutable Borrows	error	yes	no	spec_only	spec_toml
KAIN-BORROW-0003	Borrow And Mutation Conflict	error	yes	no	spec_only	spec_toml
KAIN-BORROW-0004	Use After Move	error	yes	no	spec_only	spec_toml
KAIN-BORROW-0005	Shared State Without Annotation	error	yes	no	spec_only	spec_toml
KAIN-BORROW-0006	Single Writer Violation	error	yes	no	spec_only	spec_toml
KAIN-BORROW-0007	Weak Reference Upgraded Unsafely	error	yes	no	spec_only	spec_toml
KAIN-BORROW-0008	Lifetime Mismatch	error	yes	no	spec_only	spec_toml
KAIN-BORROW-0009	Send Constraint Violation	error	yes	no	spec_only	spec_toml
KAIN-BORROW-0010	Implicit Clone On Large Value	warning	yes	no	spec_only	spec_toml
KAIN-CODEGEN-0001	Codegen Error	error	yes	yes	implemented	spec_toml
KAIN-CODEGEN-0002	Unknown Codegen Variable	error	yes	yes	implemented	spec_toml
KAIN-CODEGEN-0003	Lowering Pass Failed	error	yes	no	spec_only	spec_toml
KAIN-CODEGEN-0004	Backend Compilation Failed	error	yes	yes	implemented	spec_toml
KAIN-CODEGEN-0005	Linking Failed	error	yes	yes	implemented	spec_toml
KAIN-CODEGEN-0006	Unsupported Target Architecture	error	yes	no	spec_only	spec_toml
KAIN-CODEGEN-0007	Target Capability Missing	error	yes	no	spec_only	spec_toml
KAIN-CODEGEN-0008	Foreign ABI Mismatch	error	yes	no	spec_only	spec_toml
KAIN-CODEGEN-0009	Codegen Intrinsic Not Found	error	yes	no	spec_only	spec_toml
KAIN-CODEGEN-0010	Optimization Pass Failed	warning	yes	no	spec_only	spec_toml
KAIN-CODEGEN-0011	Codegen Budget Exceeded	error	yes	no	spec_only	spec_toml
KAIN-COMPTIME-0001	Comptime Error	error	yes	yes	implemented	spec_toml
KAIN-COMPTIME-0002	Comptime Evaluation Exceeded Recursion Limit	error	yes	no	spec_only	spec_toml
KAIN-COMPTIME-0003	Comptime Access To Runtime Value	error	yes	no	spec_only	spec_toml
KAIN-COMPTIME-0004	Macro Expansion Error	error	yes	no	spec_only	spec_toml
KAIN-COMPTIME-0005	Patch Target Not Found	error	yes	no	spec_only	spec_toml
KAIN-COMPTIME-0006	Law Violation	error	yes	no	spec_only	spec_toml
KAIN-COMPTIME-0007	Axiom Contradiction	error	yes	no	spec_only	spec_toml
KAIN-COMPTIME-0008	Orchestrate Dependency Cycle	error	yes	no	spec_only	spec_toml
KAIN-COMPTIME-0009	Converge Failed	error	yes	no	spec_only	spec_toml
KAIN-COMPTIME-0010	Shatter Pattern Incomplete	error	yes	no	spec_only	spec_toml
KAIN-CONFIG-0001	Config Error	error	yes	yes	implemented	spec_toml
KAIN-CONFIG-0002	Manifest Parse Error	error	yes	no	spec_only	spec_toml
KAIN-CONFIG-0003	Toolchain Not Found	error	yes	no	spec_only	spec_toml
KAIN-CONFIG-0004	Target Specification Invalid	error	yes	no	spec_only	spec_toml
KAIN-CONFIG-0005	Feature Flag Conflict	error	yes	no	spec_only	spec_toml
KAIN-CONFIG-0006	Dependency Resolution Failed	error	yes	no	spec_only	spec_toml
KAIN-CONVERGE-0001	Converge Error	error	yes	yes	implemented	spec_toml
KAIN-CONVERGE-0002	Converge Missing Spec Lane	error	yes	no	spec_only	spec_toml
KAIN-CONVERGE-0003	Converge Fast Lane Contract Mismatch	error	yes	no	spec_only	spec_toml
KAIN-CONVERGE-0004	Converge Verifier Failed	error	yes	no	spec_only	spec_toml
KAIN-CONVERGE-0005	Converge Capability Gap At Target	error	yes	no	spec_only	spec_toml
KAIN-CONVERGE-0006	Converge Return Type Divergence	error	yes	no	spec_only	spec_toml
KAIN-CONVERGE-0007	Converge Effect Set Divergence	error	yes	no	spec_only	spec_toml
KAIN-CONVERGE-0008	Converge Ambiguous Lane Selection	error	yes	no	spec_only	spec_toml
KAIN-EFFECT-0001	Effect Violation	error	yes	yes	implemented	spec_toml
KAIN-EFFECT-0002	Missing Effect Capability	error	yes	no	spec_only	spec_toml
