construct	syntax	purpose	file_line	related
component	component Name(props): state fn render	Declare a UI widget with props, state, methods, and JSX render	ui.md:§6.1	world surface
render	render <tag attr={expr}>...</tag>	Describe UI tree as JSX inside component	ui.md:§6.1	component
state	state name: Type = initial	Declare persistent component state that survives frames	ui.md:§6.2	component
box	<box fill_color="x" width={n} height={n}>	Filled rectangle with corner_radius, fill_color, stroke	ui.md:§3.5	panel
text	<text value="x" font_size={n} color="x">	Text label element	ui.md:§3.5	label
stack	<stack direction="x" gap={n} alignment="x">	Layout container (horizontal/vertical/z)	ui.md:§4.3	box
panel	<panel title="x">	Container with title bar (via box + style)	ui.md:§3.5	box
on_click	on_click={handler}	Event binding for click on element	ui.md:§3.5	element_set_callback
on_change	on_change={handler}	Event binding for value change	ui.md:§3.5	on_click
on_focus	on_focus={handler}	Event binding for focus in	ui.md:§3.5	on_blur
on_blur	on_blur={handler}	Event binding for focus out	ui.md:§3.5	on_focus
on_mouse_enter	on_mouse_enter={handler}	Event binding for pointer entering element	ui.md:§3.5	on_mouse_leave
on_mouse_leave	on_mouse_leave={handler}	Event binding for pointer leaving element	ui.md:§3.5	on_mouse_enter
for	for item in items: <tag/>	Iterate over array inside JSX render tree	ui.md:§6.5	if
if	if cond: <tag/> else: <tag/>	Conditional rendering inside JSX tree	ui.md:§6.5	for
HStack	component HStack(spacing, alignment, distribution)	Arranges children left-to-right horizontally	ui.md:§4.3	VStack
VStack	component VStack(spacing, alignment, distribution)	Arranges children top-to-bottom vertically	ui.md:§4.3	HStack
ZStack	component ZStack(alignment)	Stacks children back-to-front at same position	ui.md:§4.3	HStack
Grid	component Grid(columns, spacing)	Arranges children in row-major column grid	ui.md:§4.3	VStack
Spacer	component Spacer(min_size, axis)	Flexible space that expands to fill available room	ui.md:§4.3	HStack
Padding	component Padding(all, horizontal, vertical, left, top, right, bottom)	Insets children by specified padding	ui.md:§4.3	spacing
ScrollView	component ScrollView(axis, show_indicator) with Reactive	Scrollable viewport with scroll state	ui.md:§4.3	VStack
Divider	component Divider(orientation, color, thickness)	Visual separator line (horizontal or vertical)	ui.md:§4.3	Spacer
Label	component Label(value, font_size, color, align, weight)	Thin wrapper over Text with theme defaults	ui.md:§4.4	text
Button	component Button(label, variant, disabled)	Interactive button with hover/press visual states	ui.md:§4.4	on_click
TextInput	component TextInput(value, placeholder, width, password)	Single-line editable text field with cursor	ui.md:§4.4	Label
Checkbox	component Checkbox(label, checked)	Square toggle box with checkmark and optional label	ui.md:§4.4	Toggle
Slider	component Slider(value, min, max, step)	Horizontal track with draggable thumb	ui.md:§4.4	ProgressBar
Toggle	component Toggle(checked, disabled)	Capsule-shaped toggle switch with animated thumb	ui.md:§4.4	Checkbox
ProgressBar	component ProgressBar(value, max, variant)	Horizontal bar showing completion ratio	ui.md:§4.4	Slider
Spinner	component Spinner(size, color, speed)	Animated loading spinner with pulse-driven rotation	ui.md:§4.4	ProgressBar
RoundedRect	component RoundedRect(width, height, corner_radius, fill_color)	Renders filled/optionally rounded rectangle	ui.md:§4.2	box
Circle	component Circle(radius, fill_color, stroke_color, stroke_width)	Renders filled or stroked circle	ui.md:§4.2	RoundedRect
Text	component Text(value, font_size, color, align, weight, font_family)	Renders text via <text> JSX element	ui.md:§4.2	Label
InteractiveArea	component InteractiveArea(width, height, cursor, enabled)	Invisible hit-testable region with pointer event tracking	ui.md:§4.2	Button
Image	component Image(src, width, height, fit, alt)	Renders an image (stub/future)	ui.md:§4.2	RoundedRect
GradientRect	component GradientRect(colors, stops, direction)	Renders gradient rectangle (stub/future)	ui.md:§4.2	RoundedRect
surface_native	surface native_ui => Comp	Bind world state to native UI rendering surface	ui.md:§1	native_ui_session_create
ui_host_session_create	ui_host_session_create(name, title, w, h, backend)	Create UI session + window + attach host	ui.md:§10.3	native_ui_session_create
native_ui_begin_frame	native_ui_begin_frame(session, delta_ms)	Start a new UI frame	ui.md:§10.2	native_ui_end_frame
native_ui_end_frame	native_ui_end_frame(session)	End current UI frame	ui.md:§10.2	native_ui_present
native_ui_present	native_ui_present(session)	Present framebuffer to screen	ui.md:§10.2	native_ui_end_frame
native_ui_poll_event	native_ui_poll_event(session, out_event, max_size)	Poll next UI event (non-blocking)	ui.md:§3.2	native_ui_push_event
native_ui_push_event	native_ui_push_event(event)	Push event into UI event queue	ui.md:§3.2	native_ui_poll_event
native_ui_hit_test	native_ui_hit_test(session, x, y)	Find node_id at screen point (x, y)	ui.md:§2.5	poll_event
native_ui_font_create	native_ui_font_create(session, name, family, size)	Load font into UI session	ui.md:§2.6	native_ui_font_destroy
native_ui_font_destroy	native_ui_font_destroy(session, font_id)	Unload font	ui.md:§2.6	native_ui_font_create
native_ui_text_measure_width	native_ui_text_measure_width(session, font_id, text)	Measure text width in pixels	ui.md:§2.6	native_ui_font_create
native_ui_window_open	native_ui_window_open(session, title, width, height)	Create platform window for session	ui.md:§3.2	session_create
