keyword	syntax	when_clauses	capability_checks	guarantee	fallback	purpose
axiom	axiom <name>:\n    when <predicate>(<value>)\n    guarantee "<description>"\n    fallback <function_name>	target, arch, capability	various	Human-readable assertion string	function_name	Top-level machine truth declaration
axiom	axiom machine_truth:\n    when target("llvm")\n    when arch("x86_64")\n    when capability("time.pulse")\n    when capability("memory.shatter")\n    when capability("world.teleport")\n    guarantee "machine lane supports pulse, shatter, and teleport"\n    fallback scalar_fallback	target, arch, capability	time.pulse, memory.shatter, world.teleport	machine lane supports pulse, shatter, and teleport	scalar_fallback	Canonical machine truth with basic capabilities
axiom	axiom orchestrate_silicon_truth:\n    when target("llvm")\n    when capability("gpu.compute")\n    when capability("orchestrate.graph")\n    guarantee "smoketest orchestrate lane may own silicon residency, transfer, and fallback policy"\n    fallback orchestrate_axiom_fallback	target, capability	gpu.compute, orchestrate.graph	smoketest orchestrate lane may own silicon residency, transfer, and fallback policy	orchestrate_axiom_fallback	Orchestrate-targeted guard for GPU residency and fallback policy
axiom	axiom native_atomic_mask_truth:\n    when target("llvm")\n    when arch("x86_64")\n    when capability("atomic.bitmask")\n    guarantee "single-copy atomic bit-mask lane is supplied by this exact machine profile"\n    fallback portable_mask_update	target, arch, capability	atomic.bitmask	single-copy atomic bit-mask lane is supplied by this exact machine profile	portable_mask_update	Atomic mask-specific machine truth
axiom	axiom semantic_singularity_machine_truth:\n    when target("llvm")\n    when arch("x86_64")\n    when capability("atomic.bitmask")\n    when capability("time.pulse")\n    when capability("memory.shatter")\n    when capability("world.teleport")\n    guarantee "semantic singularity benchmark has atomic mask, pulse clock, shattered memory, and teleport handoff support"\n    fallback semantic_mask	target, arch, capability	atomic.bitmask, time.pulse, memory.shatter, world.teleport	semantic singularity benchmark has atomic mask, pulse clock, shattered memory, and teleport handoff support	semantic_mask	Comprehensive machine profile for singularity benchmark
axiom	axiom avx_machine_truth:\n    when target("llvm")\n    when capability("cpu.x86.avx2")\n    guarantee "AVX2 lane is available on this machine"\n    fallback scalar_alg	target, capability	cpu.x86.avx2	AVX2 lane is available on this machine	scalar_alg	Capability-gated lane selection with converge
axiom	axiom gpu_present_truth:\n    when capability("gpu.compute")\n    guarantee "GPU compute surface is available"\n    fallback cpu_only_path	capability	gpu.compute	GPU compute surface is available	cpu_only_path	World state authority with GPU compute profile
axiom	axiom desktop_profile:\n    when target("llvm")\n    when arch("x86_64")\n    when capability("cpu.x86.avx2")\n    guarantee "Full desktop compute profile with AVX2"\n    fallback mobile_fallback	target, arch, capability	cpu.x86.avx2	Full desktop compute profile with AVX2	mobile_fallback	Platform family discriminator for desktop
axiom	axiom mobile_profile:\n    when target("llvm")\n    when arch("aarch64")\n    when capability("cpu.arm.neon")\n    guarantee "Mobile compute profile with NEON"\n    fallback scalar_fallback	target, arch, capability	cpu.arm.neon	Mobile compute profile with NEON	scalar_fallback	Platform family discriminator for mobile
axiom	axiom web_profile:\n    when target("wasm")\n    guarantee "WebAssembly profile"\n    fallback js_polyfill	target		WebAssembly profile	js_polyfill	Platform family discriminator for web/WASM
axiom	axiom server_profile:\n    when capability("io.net")\n    when capability("async.runtime")\n    guarantee "Server-capable machine"\n    fallback cli_only	capability	io.net, async.runtime	Server-capable machine	cli_only	Deployment gate for server vs CLI mode
axiom	axiom gpu_truth:\n    when capability("gpu.compute")\n    guarantee "GPU compute is available"\n    fallback cpu_only	capability	gpu.compute	GPU compute is available	cpu_only	Validated machine profile with law verification
axiom	axiom numpy_profile:\n    when target("llvm")\n    when capability("python.numpy")\n    guarantee "NumPy is installed and importable"\n    fallback no_numpy_fallback	target, capability	python.numpy	NumPy is installed and importable	no_numpy_fallback	Dependency contract for imported Python packages
axiom	axiom compute_profile:\n    when target("llvm")\n    when arch("x86_64")\n    when capability("cpu.x86.avx512f")\n    guarantee "AVX-512 compute lane"\n    fallback avx2_fallback	target, arch, capability	cpu.x86.avx512f	AVX-512 compute lane	avx2_fallback	Multi-target fallback cascade tier 1 (AVX-512)
axiom	axiom avx2_profile:\n    when target("llvm")\n    when arch("x86_64")\n    when capability("cpu.x86.avx2")\n    guarantee "AVX2 compute lane"\n    fallback sse2_fallback	target, arch, capability	cpu.x86.avx2	AVX2 compute lane	sse2_fallback	Multi-target fallback cascade tier 2 (AVX2)
axiom	axiom sse2_profile:\n    when target("llvm")\n    when arch("x86_64")\n    when capability("cpu.x86.sse2")\n    guarantee "SSE2 compute lane"\n    fallback scalar_fallback	target, arch, capability	cpu.x86.sse2	SSE2 compute lane	scalar_fallback	Multi-target fallback cascade tier 3 (SSE2)
axiom	axiom teleport_truth:\n    when target("llvm")\n    when capability("world.teleport")\n    guarantee "world teleport is available on this machine profile"\n    fallback copy_fallback	target, capability	world.teleport	world teleport is available on this machine profile	copy_fallback	Capability gating for teleport across worlds
