category	file	line	pattern	message
LLVM Codegen	codegen_llvm	819	DiagnosticReport	DiagnosticReport::new(
LLVM Codegen	codegen_llvm	821	DiagnosticCode::	CodegenGeneric
Parser	parser.rs	287	parser_error_var	message
Parser	parser.rs	353	DiagnosticCode::	ParseGeneric
Parser	parser.rs	364	DiagnosticReport	DiagnosticReport::new(ErrorKind::Parse, code, message)
Parser	parser.rs	384	DiagnosticReport	DiagnosticReport::new(ErrorKind::Parse, code, message)
Parser	parser.rs	477	DiagnosticCode::	ParseReservedIdentifier
Parser	parser.rs	795	parser_error_var	format
Parser	parser.rs	1033	parser_error_var	format
Parser	parser.rs	1178	parser_error_var	format
Parser	parser.rs	1274	parser_error_var	format
Parser	parser.rs	1308	parser_error_var	format
Parser	parser.rs	1392	parser_error	Expected C include target such as `nuklear`, `native/nuklear`, `\
Parser	parser.rs	1402	parser_error	bare include form does not accept a version; use angle brackets: `include <foo.h> 1.0 as bar`
Parser	parser.rs	1533	parser_error	expected version after include target
Parser	parser.rs	1623	parser_error	Expected a system header path inside `include <...>`
Parser	parser.rs	1735	parser_error	Unknown macro param kind
Parser	parser.rs	1970	parser_error	axiom blocks may only declare one fallback
Parser	parser.rs	1978	parser_error	axiom blocks expect 'when', 'guarantee', or 'fallback'
Parser	parser.rs	2008	parser_error_var	format
Parser	parser.rs	2059	parser_error	pulse duration expects an integer like 16ms, 250us, or 1s
Parser	parser.rs	2099	parser_error_var	format
Parser	parser.rs	2107	parser_error_var	format
Parser	parser.rs	2118	parser_error_var	format
Parser	parser.rs	2216	parser_error	converge blocks may only declare one spec lane
Parser	parser.rs	2230	parser_error	Expected 'spec', 'fast', or 'verify' inside converge block
Parser	parser.rs	2242	parser_error	converge blocks require exactly one spec lane
Parser	parser.rs	2248	parser_error	converge blocks require at least one fast lane
Parser	parser.rs	2291	parser_error	Expected 'state' or 'surface' inside world block
Parser	parser.rs	2349	parser_error	Expected converge selector 'target(\
Parser	parser.rs	2366	parser_error	verify random(...) expects a non-negative integer sample count
Parser	parser.rs	2420	DiagnosticCode::	ParseInvalidWorldSurfaceKind
Parser	parser.rs	2456	parser_error	Expected entangle policy 'single_writer'
Parser	parser.rs	2480	parser_error	Entangle endpoint must be a stable dotted lvalue path like World.state
Parser	parser.rs	2499	parser_error	Resonate target must be a stable dotted lvalue path like World.state
Parser	parser.rs	2534	parser_error_var	format
Parser	parser.rs	2713	parser_error_var	format
Parser	parser.rs	2755	parser_error_var	format
Parser	parser.rs	2767	parser_error_var	format
Parser	parser.rs	2783	parser_error	Component must have a render body (JSX element)
Parser	parser.rs	2880	parser_error_var	format
Parser	parser.rs	2903	parser_error_var	format
Parser	parser.rs	2918	parser_error	Component must have a render body
Parser	parser.rs	2959	parser_error_var	self
Parser	parser.rs	2962	parser_error_var	self
Parser	parser.rs	3007	parser_error_var	format
Parser	parser.rs	3055	parser_error_var	format
Parser	parser.rs	3073	parser_error_var	format
Parser	parser.rs	3433	parser_error_var	format
Parser	parser.rs	3442	parser_error_var	format
Parser	parser.rs	3525	parser_error_var	format
Parser	parser.rs	3535	parser_error_var	format
Parser	parser.rs	3602	parser_error_var	format
Parser	parser.rs	3624	parser_error_var	format
Parser	parser.rs	3657	parser_error	Expected 'fn' keyword after @material_function
Parser	parser.rs	3731	parser_error	Expected 'let' or 'return' in material function body
Parser	parser.rs	3749	parser_error	Material function must have a 'return' statement
Parser	parser.rs	3771	parser_error_var	format
Parser	parser.rs	3781	parser_error_var	format
Parser	parser.rs	3818	parser_error_var	format
Parser	parser.rs	3849	parser_error	Expected 'node' keyword after @node_type
Parser	parser.rs	3856	parser_error	Expected 'node' keyword after @node_type
Parser	parser.rs	3915	parser_error	Expected 'inputs', 'outputs', or 'properties'
Parser	parser.rs	4053	parser_error	Expected 'schema' keyword after @schema
Parser	parser.rs	4274	parser_error	Function header may only contain one where clause
