category	file	line	pattern_type	message	code	source_crate
Actor	crates/check/src/validate.rs	178	DiagnosticCode	ActorGeneric	KAIN-ACTOR-0001	check
Actor	crates/check/src/validate.rs	201	DiagnosticCode	ActorGeneric	KAIN-ACTOR-0001	check
Actor	crates/check/src/validate_semantic_contracts.rs	165	DiagnosticCode	ActorGeneric	KAIN-ACTOR-0001	check
Actor	crates/check/src/validate_semantic_contracts.rs	254	DiagnosticCode	ActorGeneric	KAIN-ACTOR-0001	check
Actor	crates/error/src/diagnostic_registry.rs	90	DiagnosticCode	ActorGeneric	KAIN-ACTOR-0001	error
Actor	crates/error/src/diagnostic_registry.rs	90	ErrorKind	Component	KAIN-COMPONENT-XXXX	error
Actor	crates/error/src/error.rs	825	ErrorKind	Component	KAIN-COMPONENT-XXXX	error
Actor	crates/error/src/report.rs	700	ErrorKind	Component	KAIN-COMPONENT-XXXX	error
Borrow	crates/check/src/validate.rs	863	ErrorKind	Borrow	KAIN-BORROW-XXXX	check
Borrow	crates/error/src/builder.rs	114	ErrorKind	Borrow	KAIN-BORROW-XXXX	error
Borrow	crates/error/src/builder.rs	118	ErrorKind	Borrow	KAIN-BORROW-XXXX	error
Borrow	crates/error/src/builder.rs	122	ErrorKind	Borrow	KAIN-BORROW-XXXX	error
Borrow	crates/error/src/builder.rs	126	ErrorKind	Borrow	KAIN-BORROW-XXXX	error
Borrow	crates/error/src/diagnostic_registry.rs	86	DiagnosticCode	BorrowGeneric	KAIN-BORROW-0001	error
Borrow	crates/error/src/diagnostic_registry.rs	86	ErrorKind	Borrow	KAIN-BORROW-XXXX	error
Borrow	crates/error/src/error.rs	394	ErrorKind	Borrow	KAIN-BORROW-XXXX	error
Borrow	crates/error/src/error.rs	395	ErrorKind	Borrow	KAIN-BORROW-XXXX	error
Borrow	crates/error/src/error.rs	631	ErrorKind	Borrow	KAIN-BORROW-XXXX	error
Borrow	crates/error/src/error.rs	737	ErrorKind	Borrow	KAIN-BORROW-XXXX	error
Borrow	crates/error/src/error.rs	821	ErrorKind	Borrow	KAIN-BORROW-XXXX	error
Borrow	crates/error/src/report.rs	697	ErrorKind	Borrow	KAIN-BORROW-XXXX	error
Codegen	crates/check/src/validate.rs	176	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate.rs	177	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate.rs	199	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate.rs	200	ErrorKind	Codegen	KAIN-CODEGEN-XXXX	check
Codegen	crates/check/src/validate.rs	285	DiagnosticReport::new	DiagnosticReport::new(	KAIN-CODEGEN-XXXX	check
