keyword	kind	layer	syntax	brief	file_line	related	effects
actor	Contextual	L7	actor Name: state field: Type = init / on Msg(reply_to: P, params)	Message-oriented stateful concurrency unit with typed handlers	KEYWORDS.MD:1799	state, spawn, send, on, ACTOR.MD	none
after	Contextual	L4	stage name: runtime expr after stage_name	Linear dependency clause for orchestrate stages	KEYWORDS.MD:1386	orchestrate, stage, deps, ORCHESTRATE.MD	none
and	Operator Alias	L0	a and b	Boolean AND operator (alias for &&), short-circuits	KEYWORDS.MD:2450	if, or	none
as	Contextual	L0	value as Type / include ... as alias / import ... as alias	Type cast and import/include alias introducer	KEYWORDS.MD:596	include, import, type	none
async	Contextual	L0	async fn name(params) -> Type with Async	Asynchronous function modifier returning a future	KEYWORDS.MD:453	Async, await, EFFECTS.MD	Async
Async	Hard Lexer	L0	with Async	Async effect annotation for async execution context	KEYWORDS.MD:465	async, await, EFFECTS.MD	Async
await	Contextual	L0	let result = await future	Await a future value, blocking until completion	KEYWORDS.MD:543	async, Async, EFFECTS.MD	Async
axiom	Contextual	L6	"axiom Name: when pred / guarantee ""str"" / fallback fn"	Capability assumption declaration with fallback	KEYWORDS.MD:1700	when, target, capability, guarantee, fallback, AXIOM.MD	none
break	Hard Lexer	L0	break / break value	Loop exit with optional value; exits innermost loop	KEYWORDS.MD:461	break, continue	none
by	Contextual	L4	guarded by axiom_name	Axiom reference in a guarded by clause	KEYWORDS.MD:1424	orchestrate, guarded, axiom, ORCHESTRATE.MD	none
capability	Contextual	L3	"when capability(""cpu.x86.avx2"")"	Hardware/runtime capability selector for gates	KEYWORDS.MD:1612	converge, when, target, axiom, CONVERGE.MD	none
collapse	Contextual	L7	collapse ptr: body	Exclusive ownership mutation scope on ptr<T>	KEYWORDS.MD:1875	observe, decay, share, OWNERSHIP.MD	Unsafe
component	Contextual	UI	component Name(props): state x: T / render <jsx />	React-like UI widget with props, state, methods, JSX	KEYWORDS.MD:2331	state, render, surface, COMPONENT.MD	none
comptime	Contextual	L0	comptime: body	Compile-time code execution block (shader metadata, etc.)	KEYWORDS.MD:2260	shader, compute, macro	none
compute	Contextual	L0	shader compute Name(id: UVec3) -> Void workgroup(W,H,D)	Compute shader variant: GPU kernel declaration	KEYWORDS.MD:2200	shader, vertex, fragment, workgroup, SHADER_GPU.MD	GPU
const	Hard Lexer	L0	const NAME: Type = value	Compile-time constant declaration, inlined at use sites	KEYWORDS.MD:344	let, comptime	none
continue	Hard Lexer	L0	continue	Skip to next loop iteration; defers still run before jump	KEYWORDS.MD:480	break, loop, while, for, defer	none
converge	Contextual	L3	converge name(params) -> Type: spec reference: / fast name when guard: / verify random(N)	Spec-plus-fast-lanes dispatch with verification	KEYWORDS.MD:1508	spec, fast, verify, random, when, target, capability, CONVERGE.MD	none
dampen	Contextual	L5	resonate field dampen Nms	Absorption window for resonate handlers	KEYWORDS.MD:1686	resonate, pulse, RESONATE.MD	none
decay	Contextual	L7	decay ptr	Deterministic ownership teardown; ptr is dead after this	KEYWORDS.MD:1906	collapse, observe, defer, OWNERSHIP.MD	Unsafe
defer	Contextual	L0	defer expr	Block-scoped LIFO cleanup; defers run on block exit	KEYWORDS.MD:525	collapse, decay, return, break, continue	none
deps	Contextual	L4	stage name: ... deps [stage_a, stage_b]	Explicit dependency list for orchestrate stages	KEYWORDS.MD:1397	orchestrate, stage, after, ORCHESTRATE.MD	none
dispatch	Contextual	L0	"dispatch ""shader::Kernel::compute"" [x, y, z]"	Host-side GPU kernel launch with workgroup counts	KEYWORDS.MD:2248	shader, compute, GPU, Unsafe, SHADER_GPU.MD	GPU, Unsafe
else	Hard Lexer	L0	if cond: / else:	Fallback branch for if and elif chains	KEYWORDS.MD:379	if, elif	none
elif	Hard Lexer	L0	if cond: / elif cond: / else:	Else-if conditional: chains additional condition after if	KEYWORDS.MD:389	if, else	none
emit	Hard Lexer	N/A	(reserved)	Reserved keyword with TokenKind but no parser rule yet	KEYWORDS.MD:2480	receive	none
entangle	Contextual	L1	entangle World1.field <-> World2.field with single_writer	Compiler-owned state coupling between world fields	KEYWORDS.MD:1240	world, single_writer, ENTANGLE.MD	none
enum	Hard Lexer	L0	enum Name: Variant1 Variant2(param: Type)	Sum type (tagged union) with named variants	KEYWORDS.MD:668	struct, match, type	none
every	Contextual	L5	pulse name every Nms jitter Nms	Schedule interval introducer for pulse declarations	KEYWORDS.MD:1663	pulse, jitter, PULSE.MD	none
fallback	Contextual	L4	stage ... fallback abort / fallback degrade fn	Failure behavior for orchestrate stages	KEYWORDS.MD:1450	orchestrate, stage, guarded, ORCHESTRATE.MD	none
false	Hard Lexer	L0	false	Boolean false literal	KEYWORDS.MD:418	true, none	none
fanout	Contextual	L7	share ptr: fanout var in range: body	Parallel write lane within a share block (disjoint regions)	KEYWORDS.MD:1982	share, collapse, OWNERSHIP.MD	Unsafe
fast	Contextual	L3	fast name when guard: body	Fast lane in a converge block with target/capability guard	KEYWORDS.MD:1530	converge, spec, when, CONVERGE.MD	none
fn	Hard Lexer	L0	fn name(params) -> Type with Effect: body	Function declaration; universal callable unit	KEYWORDS.MD:302	fn, patch, converge	none
for	Hard Lexer	L0	for var in iterable: body	Iteration over a sequence; also used in JSX for lists	KEYWORDS.MD:430	in, while, loop, component	none
fragment	Contextual	L0	shader fragment Name(uv: Vec2) -> Vec4	Fragment (pixel) shader variant of shader	KEYWORDS.MD:2184	shader, vertex, compute, SHADER_GPU.MD	GPU
from	Contextual	L6	teleport ... from WorldA / from module import name	Source introducer for teleport and import	KEYWORDS.MD:1784	teleport, to, import, TELEPORT.MD, PYTHON.MD	none
GPU	Hard Lexer	L0	with GPU	GPU compute effect annotation	KEYWORDS.MD:473	dispatch, shader, compute, Unsafe, EFFECTS.MD	GPU
guarantee	Contextual	L6	"guarantee ""human-readable assertion"""	Guarantee string in an axiom declaration	KEYWORDS.MD:1718	axiom, AXIOM.MD	none
