keyword	syntax	purpose	file	notes
package	package("name").version("v").description("d")	Declare a named package	build.kn	Returns PackageSpec; used in build_graph().package()
blade	blade("name").kind("type").entry(path).source_root(path).module_root(path).build_target("t")	Declare a blade (buildable unit)	build.kn	Returns BladeSpec; kinds: kain_library, kain_binary, kain_executable
project	project("name").kind("type").version("v").entry(path).source_roots([...]).module_roots([...]).targets("t1","t2")	Combined package+blade shorthand	build.kn	Returns ProjectSpec; simplifies simple projects
build_defaults	build_defaults().entry(path).artifact_root(path).cache_root(path).profile("debug|release").target("t")	Default build settings	build.kn	Returns BuildDefaultsSpec
run_defaults	run_defaults().entry(path).target("t").watch(dirs)	Run-time settings (watch paths)	build.kn	Returns RunDefaultsSpec
workspace_defaults	workspace_defaults().search_root(".").generated_root(path).blade_root(path)	Workspace-wide settings	build.kn	Returns WorkspaceDefaultsSpec
source_set	source_set("name").root("src").glob("**/*.kn").file(path).exclude("*.test.kn")	Named source file collection	build.kn	Returns SourceSetSpec
build_graph	build_graph().project(pkg).package(pkg).blade(spec).tasks(t1, t2)	Root build graph return value	build.kn	Returns BuildGraphSpec; only valid return from build()
build_check	build_check("id").entry(path).target("t").axis("k","v").inputs(sources)	Typecheck task	build.kn	Alias: check_task(); kind: check
native_executable	native_executable("id").entry(path).output("$blade/exe").requires(dep)	Build native executable task	build.kn	Aliases: root_executable(), build_native_executable(); kind: native-executable
source_tests	source_tests("id").project(pkg).inputs(sources).requires(dep)	Run inline source tests task	build.kn	kind: test
exec_task	exec_task("id").command("cmd").cwd("$root").arg("--flag").env("K","V").timeout_ms(N).always_run()	Run arbitrary command task	build.kn	Alias: command_task(); kind: exec
gpu_suite	gpu_suite("id").fragment("frag.kn").compute("comp.kn").targets("spirv","cuda").artifact_root(path)	Compile GPU artifacts task	build.kn	kind: gpu
certify	certify("subject").requires(task1, task2)	Meta-task: certify that dependencies passed	build.kn	kind: certify; runs after all dependencies
amalgamate_capsule	amalgamate_capsule("id").path(".").output(path).name("n").version("v").capsule_set("s")	Pack sources into capsule task	build.kn	Alias: capsule_set(); kind: amalgamate
kain_runner	kain_runner("id").entry(path).target("interpret").inputs(sources)	Run kain as subprocess within build graph	build.kn	kind: exec
platform_package	platform_package("name")	External platform package requirement	build.kn	Returns PlatformPackageSpec
build_task	build_task("id").kind("explicit-kind").entry(path)	Generic task with explicit kind string	build.kn	Fallback for custom task kinds
KAIN.toml	[package] name = "pkg" version = "v" description = "d"	Legacy compatibility metadata (vestigial, not authoritative)	KAIN.toml	Read for blade discovery; all build logic lives in build.kn
KAIN.toml	[build] entry = "src/main.kn" targets = ["llvm","wasm"] artifact_root = ".kain/out"	Build section in KAIN.toml (vestigial)	KAIN.toml	Overridden by build.kn if present
KAIN.toml	[run] entry = "src/main.kn" target = "llvm" args = [] env = {}	Run section in KAIN.toml	KAIN.toml	Run-time configuration
KAIN.toml	[blade] name = "b" kind = "k" entry = "e" source_roots = [] module_roots = [] build_targets = []	Blade section in KAIN.toml	KAIN.toml	Blade discovery metadata
KAIN.toml	[c_ffi] include_paths = [] link_libs = [] libraries = [{name, header, sources, ...}]	C FFI library configuration in KAIN.toml	KAIN.toml	For multi-library bridges
KAIN.toml	[rust_ffi] manifest_path = "Cargo.toml" path_crates = [] registry_crates = []	Rust FFI configuration in KAIN.toml	KAIN.toml	For Rust crate interop
platform.kn	require "target" or capability("name")	Platform capability requirements	platform.kn	Declares required target/capability for the package
KAIN.lock	[[packages]] name = "p" version = "v" digest = "sha256:..." schema = 1	Package lockfile — pins exact capsule digests	KAIN.lock	Generated by kain add; no version range resolution
KAIN.omni.toml	[workspace] root = "." [build] entry = "src/main.kn" [[build.targets]] kind="Rust" output="gen/rust/"	Omni polyglot project manifest	KAIN.omni.toml	Multi-target compile configuration (experimental)
KAIN.fabric.toml	[[steps]] id = "process" runtime = "python" entry = "script.py" depends_on = [] outputs = []	Fabric multi-runtime step DAG manifest	KAIN.fabric.toml	Polyglot pipeline with typed contract bindings
config.toml	[build] jobs = "smart" [ui] theme = "slate" color = "auto" [diagnostics] capture = "failures"	Tooling config in .kain/ directory	.kain/config.toml	User/workspace settings; load order: --config > KAIN_CONFIG > KAIN_HOME > CWD
build-context	BuildContext	Injected by compiler at build time; contains workspace_root, blade_root, host, target, lane, profile	build.kn	Parameter type of build() function
$root	$root/path	Path prefix resolving to workspace root	build.kn	Interpolated in task paths
$blade	$blade/path	Path prefix resolving to blade output root	build.kn	Interpolated in task paths; typically .kain/out/
$task	$task/path	Path prefix resolving to task cache root	build.kn	Interpolated in task paths; typically .kain/cache/build/<task-id>/
evidence-dag	BuildGraph -> directed acyclic graph of tasks with dependency edges	All builds create a DAG of tasks with requires/after edges	build.kn	Compiler validates DAG for cycles before execution
task-kind-check	BUILD_KIND_CHECK	Typecheck only, no codegen	build.kn	check task
task-kind-native-executable	BUILD_KIND_NATIVE_EXECUTABLE	Compile to native executable	build.kn	native-executable task
task-kind-test	BUILD_KIND_TEST	Run inline source tests	build.kn	test task
task-kind-proof	BUILD_KIND_PROOF	Run formal proof cases	build.kn	proof task
task-kind-benchmark	BUILD_KIND_BENCHMARK	Run performance benchmarks	build.kn	benchmark task
task-kind-attrition	BUILD_KIND_ATTRITION	Run attrition/sabotage tests	build.kn	attrition task
task-kind-certify	BUILD_KIND_CERTIFY	Meta-task: certify depencencies passed	build.kn	certify task
task-kind-exec	BUILD_KIND_EXEC	Run an arbitrary command	build.kn	exec task
task-kind-amalgamate	BUILD_KIND_AMALGAMATE	Pack sources into portable capsule	build.kn	amalgamate task
