id	status	severity	category	title	description	file	discovered	fix	blocker	notes
BUG-023	fixed	P1	draw_pixels.c	Merge-at-insertion uses cmd.h instead of cmd.w	kt_draw_try_merge line 937 uses cmd.h (height) when computing right edge for horizontal merge adjacency check and width expansion. Post-processing pass kaintana__draw_merge is correctly implemented. Bug causes incorrect merge decisions when w != h.	draw_pixels.c:937	2026-06-28	Changed (int)cmd.h to (int)cmd.w on line 937. gcc -std=c11 -Wall -Wextra -pedantic -Werror clean.	Merge correctness	Found during reference audit vs Clay. Z3 proof pending: BUG-023-merge-width.smt2
BUG-018	fixed	P4	backends	terminal CLI stubs	Terminal backend input handling not implemented (raw mode, key reading, mouse). Currently render-only.	host_terminal.c	2026-06-28	Added term_poll_input(): non-blocking stdin -> kt_input_* funnel via stdin_read_byte() (Win32 console API / POSIX select+read), read_escape_sequence() for ANSI CSI/OSC parsing (arrows, F-keys, Home/End, PgUp/Dn), key_to_text() for printable ASCII. Added kt_terminal_set_session() for auto-poll in new_frame(). Added ANSI alt-buf + mouse tracking. Z3: BUG-018-terminal-input-stubs.smt2 (6 invariants verified)	Terminal interactivity	Phase C work. Terminal backend now self-contained: render + input.
BUG-017	fixed	P3	damage.c	Descending counting sort O(N*65)	Descending path re-scans all N nodes for each of 65 depth buckets: O(65*N). Ascending path uses correct prefix-sum O(N).	damage.c:296	2026-06-27	Replaced O(65*N) re-scan with O(N) prefix-sum: descending_pos[d] precomputes start position for each depth when sorting descending, then one pass places each element per depth. Z3: BUG-017-damage-counting-sort.smt2 (structural verification)	Performance	At 4096 nodes this is 266K iterations vs 4K. Real-world heaps are <64 so both paths fall through to insertion sort.
BUG-016	fixed	P3	hash_table.c	hash_clear sentinel mismatch	hash_clear zeroes hash_values to 0, but kt_make initializes to 0xFF. Value 0 is valid root node index, -1 is sentinel for empty.	hash_table.c:172	2026-06-27	hash_clear already uses 0xFF memset. No code change needed — status updated to reflect existing fix was already correct.	Correctness	Z3 proven: BUG-016-hash-clear-sentinel.smt2 (UNSAT)
BUG-024	open	P0	codegen	Numeric attribute values passed as integer-to-i8* in slot 7 calls	Project-level kaintana-tests.ll ThemeApp_render passes raw integer constants (24, 16, 12, 8) as i8* pointer values to element_set_attr_string (slot 7) for pad/gap attributes. Should use slot 6 (f64). Per-file output is correct — only project-level combine is broken. 10 occurrences. See z__audit/llvm_codegen_bug_1.md.	kaintana-tests.ll	2026-06-29	Route attributes by expected_type (attr_table.c) or stringify numeric values before passing to slot 7. Per-file codegen path handles this correctly.	Black screen/frozen frame	Crates/sys-codegen/ — attribute lowering pass for project-level combine. BUG-025 blocks clean verify.
BUG-025	open	P0	codegen	main() calls surface_loop BEFORE kt_init() — dead kt_* code after surface loop	Project-level kaintana-tests.ll main() calls __kain_world_surface_loop_ThemeWorld() before kt_init(). The surface loop never returns, making all subsequent kt_make/backend_register/kt_begin/kt_end/kt_present calls dead code. Per-file output has same bug. native_ui begin_frame likely depends on kt_init() to initialize Kaintana internals (arena, draw batch, node tree).	kaintana-tests.ll	2026-06-29	Reorder main(): move kt_init() and backend registration BEFORE the surface loop call, or embed them in the surface loop function.	Black screen	Crates/sys-codegen/ — main() emission in entry.rs. Blocks BUG-024 verification.
BUG-015	fixed	P4	tree.c	kt_free(NULL) crash	kt_free(NULL) calls kaintana__session(NULL) which is just a cast, then sess->vtable dereferences NULL.	tree.c:141	2026-06-27	Fix was already present in tree.c:148 (`if (!s) return;`). Status updated to reflect existing fix. Z3: bug-015-kt-free-null-guard.smt2 (UNSAT)	Defensive	Null check already present. Confirmed via read + Z3 proof.
BUG-014	fixed	P4	color.c	hex_nibble returns 0 for invalid chars	"hex_nibble('G') returns 0. Malformed hex string like ""#A0GG00"" silently produces wrong color instead of a fallback."	color.c:29	2026-06-27	hex_nibble now returns int, returns -1 for invalid chars. kt_color_parse_hex validates every nibble call: if any returns < 0, returns 0xFF000000 fallback. Verified gcc -std=c11 -Wall -Wextra -pedantic -Werror. Z3: bug-014-hex-nibble-invalid.smt2 (UNSAT)	UX	"Now safely rejects malformed hex like ""#A0GG00"" with fallback black (0xFF000000) instead of silently producing wrong color."
BUG-013	fixed	P1	tests	No test runner exists	test_runner.c has not been written. No automated tests verify the pipeline. No CI gate.	—	2026-06-28	Created test_runner.c (~800 lines), Makefile, conftest.py, test_from_specs.py. Parses TSV specs, executes kt_* calls via mini-interpreter, compares golden .bin files, emits JSON. Verified gcc -std=c11 -Wall -Wextra -pedantic -Werror -fsyntax-only.	CI, regression	Phase A deliverable complete: test_runner.c + Makefile + conftest.py + test_from_specs.py.
BUG-012	fixed	P2	hash_table.c	Max load 256 not enforced	KAINTANA_HASH_MAX_LOAD=256 but kaintana_hash_insert never checks current load. At 4096 full-table state, lookup probes all slots and returns -1.	hash_table.c:96	2026-06-27	Added hash_occupied_count to session struct. Insert checks count >= MAX_LOAD and rejects. Counter incremented on insert, decremented on remove, reset on clear. kaintana_hash_load now O(1).	Hash table stability	Z3 proven: BUG-012-hash-max-load.smt2 (UNSAT)
BUG-011	fixed	P2	tree.c	g_active_session singleton	v_state_get/set_* dispatch through global g_active_session, not through the sid parameter. Only one session can exist.	tree.c:14	2026-06-27	Replaced g_active_session with session_by_sid() static array mapping (MAX_SESSIONS=8). All vtable stubs dispatch via sid parameter.	Multi-window	Fixed via session register/lookup array. session_by_sid scans session_map[] by sid.
BUG-010	fixed	P2	box_math.c	Layout direction hardcoded to row	axis=0 hardcoded in box_math.c:231. kt_direction() stores to KaintanaLayout but box_math's pass2 reads hardcoded value.	box_math.c:231	2026-06-27	Added direction, justify_content, align_items fields to KaintanaLayout (replaced part of _pad[]). v_element_set_attr_i64 now stores layout.dir/layout.justify/layout.align to these fields. box_math.c pass2 reads l->direction, l->justify_content, l->align_items instead of hardcoded defaults. Z3: BUG-010-direction-range-safe.smt2 (3 claims verified)	Layout pipeline	All containers render as horizontal rows regardless of kt_direction setting. Now reads from KaintanaLayout direction field.
BUG-009	fixed	P2	box_math.c	Root node resolved size = 0	Session root (node 0) never gets resolved_width/resolved_height set. Layout pass2 gives children 0 cross-axis size.	box_math.c:229	2026-06-27	Root resolved size set to session dimensions at start of layout_pass2. Added window_width/height to session struct, stored in kt_make(), used in pass2 initialization.	Layout pipeline	Children have nowhere to lay out.
BUG-008	fixed	P1	tree.c	layout_arena_index assigned after attr setters	layout_arena_index is -1 for all nodes until kt_end() calls layout_pass1. v_element_set_attr_f64 returns early when index < 0, silently dropping ALL kt_width/kt_height/kt_fill/kt_pad calls.	tree.c:378	2026-06-27	Layout indices now allocated in node_alloc() (tree.c) instead of deferred to kaintana__layout_pass1(). v_element_set_attr_f64 layout_arena_index < 0 early return relaxed to defensive-only guard.	Layout pipeline	Attrs are set during tree building (kt_row/kt_fill), but layout indices weren't allocated until kt_end.
BUG-007	fixed	P1	tree.c	KaintanaInternalDrawCmd != kt_Cmd type layout	kt_present does raw cast from KaintanaInternalDrawCmd* (32 bytes) to kt_Cmd* (44 bytes). Memory layout mismatch produces garbage draw commands.	tree.c:239	2026-06-27	Replaced raw cast in kt_present with field-by-field conversion loop allocating kt_Cmd array from frame arena. Conversion matches kt_cmd_get() logic: int16 x/y, uint16 w/h to float bounds; corner_radius/256.0f to float radius; color/color_b pass through; data_offset mapped to text_id, texture_handle to image_id. Z3: BUG-007-cmd-conversion-faithful.smt2 (5 claims verified)	Render pipeline	kt_cmd_get() does proper per-command conversion but kt_present bypassed it. Fixed by allocating converted kt_Cmd array in kt_present().
BUG-006	fixed	P0	tree.c	Attribute dispatch stubs are no-ops	"v_element_set_attr_* route through vtable stubs that discard all values. kt_fill/kt_width/kt_height silently do nothing. draw_pixels.c explicitly documents this as ""task 1.9""."	tree.c:301-306; draw_pixels.c:1082	2026-06-27	Stored parsed colors in KaintanaLayout.fill_color/stroke_color. v_element_set_attr_string now stores parsed colors. draw_generate reads fill_color from layout instead of hardcoded grey.	ALL visual output	The P0 blocker. No element styles take effect. All elements render as default grey at zero size.
BUG-005	fixed	P2	host_win32.c	Empty frames don't present to screen	win32_render early-returns on 0-command frames, leaving the DIB framebuffer invisible until a non-empty frame.	host_win32.c:776	2026-06-27	Early-return path now calls win32_present_to_screen()	Visual debugging	
