function_name	kain_concept	llvm_ir_pattern	llvm_c_api	status	lines
# ── FILE: 00-preamble.rs ───────────────────────────────────────────────────────────────────────────────────────────────────────────── #
runtime_symbol_for_stdlib_function	stdlib/runtime FFI	@kain_floor_i64, @kain_ceil_i64 etc. — stdlib name→C symbol	map Kain fn name to runtime C symbol via match	n/a (pure Rust mapping)	mapped	228-235
stdlib_function_uses_borrowed_string_param	stdlib/runtime FFI	[string param ABI: i8* instead of refcount]	Which stdlib parameters borrow strings (map_get key, trim, replace)	n/a (pure Rust heuristic)	mapped	237-245
kain_map_codegen_mix_u64	hash/utility	none — pure helper	64-bit hash mix (xorshift+multiply)	n/a (no LLVM IR emitted)	mapped	244-254
kain_map_codegen_hash_bytes	hash/utility	none — pure helper	Hash bytes with 64-bit FNV-like rotation hash	n/a (pure Rust, no LLVM IR)	mapped	253-281
kain_map_codegen_magic_prefix_state	hash/utility	none — pure helper	4-word folded prefix state for static key hash	n/a (pure Rust, no LLVM IR)	mapped	280-301
kain_map_codegen_static_key_metadata	hash/utility	none — pure helper	Compute key_length, key_hash, key_prefix for compile-time map keys	n/a (pure Rust, no LLVM IR)	mapped	300-332
llvm_runtime_declaration_is_preemitted	runtime/FFI pre-emit	declare @abi_entangle_register, @abi_converge_select_lane_for_key, @py_call* — pre-emitted runtime C functions	Match set of pre-emitted C ABI symbols (entangle, converge, Python bridge)	n/a (pure Rust, matches!() set)	mapped	331-379
python_import_binding_infos	Python import	[%PythonImportGlobalInfo globals — init flags + runtime init calls]	Extract binding infos from Import AST (Module/Member init kinds)	n/a (pure Rust, AST walk)	mapped	378-419
llvm_orchestrate_trace_enabled	orchestrate/env	[none — env var gate for orchestrate stage telemetry emission]	Check KAIN_LLVM_ORCHESTRATE_TRACE env var	n/a (pure Rust, env read)	mapped	418-444
resolve_host_llvm_target_descriptor	target/LLVM	[none — uses kain_target crate]	Returns LlvmTargetDescriptor::host()	n/a (delegates to kain_target)	mapped	443-448
resolve_llvm_target_for_compile_target	target/LLVM	[none — selects triple]	Maps CompileTarget::BareMetal→"x86_64-unknown-none", host for rest	n/a (delegates to kain_target)	mapped	447-458
generate	FULL PROGRAM codegen	[Entire .ll module: target triple, data layout, functions, globals, metadata]	LLVMContextCreate → LLVMModuleCreateWithNameInContext → ... (via KNIR text)	LLVMContextCreate, LLVMModuleCreateWithNameInContext, LLVMTargetMachineEmitToMemoryBuffer	mapped	457-462
generate_with_target	FULL PROGRAM codegen	[Same as generate, with explicit target descriptor]	Generate with specific LlvmTargetDescriptor	LLVMCreateTargetMachine (w/ triple)	mapped	461-469
generate_llvm_for_target	FULL PROGRAM codegen	[Same as generate, triple selected]	Generate with optional target triple string	LLVMCreateTargetMachine, LLVMTargetMachineEmit	mapped	472-484
generate_with_debug	FULL PROGRAM + DWARF	[Same + !dbg, !DICompileUnit, !DIFile, !DISubprogram metadata]	Generate with DWARF debug info + source filename	LLVMSetCurrentDebugLocation (via KNIR text)	mapped	489-500
generate_with_debug_for_target	FULL PROGRAM + DWARF + target	[Same as generate_with_debug + target triple]	Generate with debug + target triple override	LLVMCreateTargetMachine, LLVMSetCurrentDebugLocation	mapped	504-518
generate_with_options	FULL PROGRAM codegen (internal)	[Orchestrates entire .ll emission: lower → validate → compile]	lowers TypedProgram → validates memory → runs LlvmGenerator::compile_module	n/a (KNIR orchestrator)	mapped	517-544
codegen_error	diagnostic	[none — returns KainError]	Creates codegen error with semantic enrichment	enrich_codegen_error via kain_semantic crate	mapped	840-855
# ── FILE: 01-infrastructure.rs ── impl LlvmGenerator { … } methods ───────────────────────────────────────────────────────────────── #
LlvmGenerator::new	codegen infrastructure	[none — constructor]	Allocates all state fields (locals, functions, strings, entanglements, pulses, axioms, shatters, worlds, etc.)	n/a (pure Rust struct init)	mapped	860-973
save_function_state	codegen infrastructure	[none — state snapshot]	Saves all mutable codegen state into LlvmFunctionState struct	n/a (pure Rust clone)	mapped	975-1031
restore_function_state	codegen infrastructure	[none — state restore]	Restores all codegen state from LlvmFunctionState into self	n/a (pure Rust field assignment)	mapped	1033-1087
reset_for_isolated_function_codegen	codegen infrastructure	[none — state reset]	Resets per-function codegen state for isolated function compilation	n/a (pure Rust field clear)	mapped	1089-1141
collect_original_pointer_let_type_hints	ptr/collapse/ownership	[none — populates original_pointer_let_types map from TypedProgram]	Collect all pointer/ref let types and param types across entire program	n/a (pure Rust, AST walk)	mapped	1143-1149
collect_pointer_param_types_from_params	collapse/ptr param	[none — records Span→Type for Ptr/Ref params]	Record original pointer param types before Ptr<T>→Int normalization	n/a (pure Rust, AST visit)	mapped	1151-1158
collect_pointer_let_types_from_typed_item	ALL semantic types traversal	[none — recursive AST descent into Function, Patch, Law, Converge, Orchestrate, Pulse, Resonate, Component, Shader, Actor, Struct, Impl, Test, Mod]	Walk all TypedItem variants collecting pointer type hints	n/a (pure Rust, recursive descent)	mapped	1160-1228
collect_pointer_let_types_from_item	ALL semantic types (pre-typed)	[none — same walk on ast::Item]	Same collector over untyped AST items	n/a (pure Rust, recursive descent)	mapped	1230-1307
collect_pointer_let_types_from_block	block traversal	[none — walks Stmts]	Walk block statements collecting pointer let type hints	n/a (pure Rust)	mapped	1309-1313
collect_pointer_let_types_from_stmt	ALL statement types	[none — switch on Stmt enum]	Collect pointer types from let, expr, defer, dispatch, return, break, for, fanout, while, loop, subgroup, item statements	n/a (pure Rust, match on Stmt)	mapped	1315-1358
collect_pointer_let_types_from_else_branch	if/else	[none — recursive else branch walk]	Collect pointers from if/elif/else branches	n/a (pure Rust, recursive)	mapped	1360-1371
collect_pointer_let_types_from_expr	ALL expression types	[none — exhaustive Expr match]	Collect pointer type hints from all expression variants (binary, unary, call, method, field, index, assign, struct, match, if, FString, Array, Tuple, lambda, ref, cast, bitcast, PtrOffset, MemLoad/Store, Volatile, Atomic, InlineAsm, Alloc, Collapse, Observe, Share, Decay, Teleport, Spawn, SendMsg, etc.)	n/a (pure Rust, exhaustive match)	mapped	1373-1567
emit	LLVM IR text output	[Appends to self.output String — all LLVM IR lines]	Push string to output buffer; if debug enabled, appends !dbg metadata suffix	LLVMAddNamedMetadataOperand (for !dbg)	mapped	1569-1593
is_llvm_instruction_line	LLVM IR detection	[Heuristic: indented, not label/comment/directive/declaration]	Detect if a line is a function-body LLVM instruction	for metadata line detection	n/a (pure Rust, string heuristic)	mapped	1597-1616
byte_offset_to_line_column	DWARF/debug	[!DILocation(line: N, column: N, scope: !N)]	Convert byte offset to (line, column) using pre-built line-start table	n/a (pure Rust, binary search on line starts)	mapped	1620-1631
stmt_span	debug/source span	[Extracts Span from any Stmt variant]	Return source span from any statement enumeration	n/a (pure Rust, match/field access)	mapped	1634-1650
