keyword	syntax	purpose	file_line	related
asm	"asm(""instruction"")"	Emit raw LLVM inline assembly	SYSTEMS:§2.1	Unsafe
asm_pause	"asm(""pause"")"	CPU spin-loop yield hint	SYSTEMS:§2.1	spin_loop_hint
asm_nop	"asm(""nop"")"	Single-byte no-op	SYSTEMS:§2.1	asm
asm_clflush	"asm(""clflush ($0)"", addr, memory=true)"	Cache line flush with address binding	SYSTEMS:§2.1	clflush
asm_rep_stosd	"asm(""rep stosd"", ptr, cnt, val, constraints=""{rdi},{rcx},{rax}"", clobbers=""rdi,rcx,rax"", memory=true, intel=true)"	Fast memory fill with register binding	SYSTEMS:§2.1	mem_store
asm_ret	"asm(""ret"")"	Function return in @naked	SYSTEMS:§2.11	naked
lfence	lfence()	Load fence — serialize load instructions	SYSTEMS:§2.2	mfence
sfence	sfence()	Store fence — serialize store instructions	SYSTEMS:§2.2	mfence
mfence	mfence()	Full memory barrier — serialize all memory ops	SYSTEMS:§2.2	lfence
atomic_fence_seqcst	atomic_fence_seqcst()	Sequentially consistent atomic fence	SYSTEMS:§6.1	mfence
atomic_fence_acquire	atomic_fence_acquire()	Acquire fence	SYSTEMS:§6.1	atomic_fence_release
atomic_fence_release	atomic_fence_release()	Release fence	SYSTEMS:§6.1	atomic_fence_acquire
atomic_fence_acqrel	atomic_fence_acqrel()	Acquire+Release fence	SYSTEMS:§6.1	atomic_fence_seqcst
rdtsc	rdtsc()	Read CPU timestamp counter	SYSTEMS:§2.4	lfence
cpuid_eax	cpuid_eax(leaf, subleaf)	CPUID EAX output register	SYSTEMS:§2.4	cpuid_ebx
cpuid_ebx	cpuid_ebx(leaf, subleaf)	CPUID EBX output register	SYSTEMS:§2.4	cpuid_eax
cpuid_ecx	cpuid_ecx(leaf, subleaf)	CPUID ECX output register	SYSTEMS:§2.4	cpuid_eax
cpuid_edx	cpuid_edx(leaf, subleaf)	CPUID EDX output register	SYSTEMS:§2.4	cpuid_eax
cpu_core_count	cpu_core_count()	Physical core count	SYSTEMS:§2.6	cpu_logical_count
cpu_logical_count	cpu_logical_count()	Logical processor count (hyperthreads)	SYSTEMS:§2.6	cpu_core_count
cpu_package_count	cpu_package_count()	Physical socket count	SYSTEMS:§2.6	cpu_core_count
cpu_cache_line_bytes	cpu_cache_line_bytes()	L1 cache line size (typically 64)	SYSTEMS:§2.6	cache_flush
numa_node_count	numa_node_count()	Number of NUMA domains	SYSTEMS:§2.6	numa_current_node
numa_current_node	numa_current_node()	NUMA node of current thread	SYSTEMS:§2.6	numa_bind_current_thread
numa_bind_current_thread	numa_bind_current_thread(node_index)	Bind thread to NUMA node	SYSTEMS:§2.6	set_current_thread_affinity
current_thread_id	current_thread_id()	OS thread ID	SYSTEMS:§2.6	set_current_thread_affinity
current_thread_affinity_mask	current_thread_affinity_mask()	Current CPU affinity bitmask	SYSTEMS:§2.6	set_current_thread_affinity
set_current_thread_affinity	set_current_thread_affinity(core_index)	Pin thread to specific core	SYSTEMS:§2.6	current_thread_id
prefetch_read	prefetch_read(ptr, locality)	Prefetch into cache (0-3 locality)	SYSTEMS:§2.4	prefetch_write
prefetch_write	prefetch_write(ptr, locality)	Prefetch for write (0-3 locality)	SYSTEMS:§2.4	prefetch_read
cache_flush	cache_flush(ptr)	Flush a cache line by address	SYSTEMS:§2.4	cpu_cache_line_bytes
spin_loop_hint	spin_loop_hint()	"Equivalent to asm(""pause"")"	SYSTEMS:§2.4	asm_pause
vm_page_size	vm_page_size()	System page size in bytes	SYSTEMS:§2.5	vm_reserve
vm_reserve	vm_reserve(byte_count)	Reserve virtual address space	SYSTEMS:§2.5	vm_commit
vm_commit	vm_commit(address, count)	Commit backed physical pages	SYSTEMS:§2.5	vm_decommit
vm_decommit	vm_decommit(address, count)	Release physical pages, keep VA	SYSTEMS:§2.5	vm_commit
vm_unmap	vm_unmap(address, count)	Unmap entire virtual address range	SYSTEMS:§2.5	vm_release
vm_release	vm_release(address, count)	Same as vm_unmap	SYSTEMS:§2.5	vm_unmap
vm_map	vm_map(byte_count)	Map (reserve+commit) in one call	SYSTEMS:§2.5	vm_map_huge
vm_map_huge	vm_map_huge(byte_count)	Map with huge pages if available	SYSTEMS:§2.5	vm_map
vm_protect_none	vm_protect_none(address, count)	Remove all access	SYSTEMS:§2.5	vm_protect_read
vm_protect_read	vm_protect_read(address, count)	Read-only	SYSTEMS:§2.5	vm_protect_read_write
vm_protect_read_write	vm_protect_read_write(address, count)	Read-write	SYSTEMS:§2.5	vm_protect_execute_read
vm_protect_execute_read	vm_protect_execute_read(address, count)	Read-execute	SYSTEMS:§2.5	vm_protect_execute_read_write
vm_protect_execute_read_write	vm_protect_execute_read_write(address, count)	Read-write-execute	SYSTEMS:§2.5	vm_protect_read
vm_lock	vm_lock(address, count)	Lock pages into RAM (mlock)	SYSTEMS:§2.5	vm_unlock
vm_unlock	vm_unlock(address, count)	Unlock pages from RAM	SYSTEMS:§2.5	vm_lock
alloc	"alloc(n, ""Type"")"	Heap allocation	SYSTEMS:§9.1	free
alloc_zeroed	"alloc_zeroed(n, ""Type"")"	Zeroed heap allocation	SYSTEMS:§9.1	alloc
free	"free(ptr, n, ""Type"")"	Heap deallocation	SYSTEMS:§9.1	alloc
realloc_mem	"realloc_mem(ptr, old, new, ""Type"")"	Resize allocation	SYSTEMS:§9.1	alloc
collapse	collapse ptr: ...	Enter mutable ownership scope on raw pointer	SYSTEMS:§9.1	observe
observe	observe ptr: ...	Enter read-only ownership scope	SYSTEMS:§9.1	collapse
decay	decay ptr	Release ownership of raw pointer	SYSTEMS:§9.1	collapse
